LOCH SHIN (FAIG) TURFWALL,,,,,,,,,,,,
Grid ref,NC445238,Long,-4.645705,Lat,58.175574,,,,,,,
Station no,5799/2/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,10.40,6.15,4.35,,9.80,7.97,5.92,5.22,4.40,,
February,,8.20,4.05,3.10,,5.80,7.60,5.37,3.45,4.45,,
March,,4.43,2.80,2.90,,2.50,4.03,5.16,2.75,1.15,,
April,,1.05,2.95,2.65,,4.00,3.07,3.28,3.53,4.60,,
May,,3.85,4.06,-999.00,,3.20,1.05,3.67,2.55,1.45,,
June,,2.59,1.80,-999.00,,3.34,2.95,1.79,1.39,3.75,,
July,,2.06,2.02,-999.00,,4.31,4.08,1.05,2.10,3.15,,
August,4.35,4.95,2.20,-999.00,,5.40,7.50,3.12,2.80,3.50,,
September,2.50,5.00,5.10,-999.00,,3.42,5.50,2.05,2.85,2.25,,
October,2.30,5.59,3.20,-999.00,,5.33,7.65,5.94,3.95,3.67,,
November,7.20,5.56,5.20,-999.00,,6.00,4.02,2.05,12.45,2.38,,
December,,7.50,7.20,-999.00,,7.00,11.00,5.44,4.50,8.23,,
Total,,61.18,46.73,-999.00,-999.00,60.10,66.42,44.84,47.54,42.98,,
Calc annual,16.35,61.18,46.73,13.00,0.00,60.10,66.42,44.84,47.54,42.98,,
Difference,NaN,-0.00,-0.00,-1012.00,-999.00,0.00,0.00,0.00,-0.00,-0.00,,
