LOCH SHIN (FAIG) TURFWALL,,,,,,,,,,
Grid ref,NC445238,Long,-4.645705,Lat,58.175574,Elevation,880,ft,,
Station no,5799/2/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,10.4,6.15,4.35,,9.8,7.97,5.92,5.22,4.4
February,,8.2,4.05,3.1,,5.8,7.6,5.37,3.45,4.45
March,,4.43,2.8,2.9,,2.5,4.03,5.16,2.75,1.15
April,,1.05,2.95,2.65,,4,3.07,3.28,3.53,4.6
May,,3.85,4.06,,,3.2,1.05,3.67,2.55,1.45
June,,2.59,1.8,,,3.34,2.95,1.79,1.39,3.75
July,,2.06,2.02,,,4.31,4.08,1.05,2.1,3.15
August,4.35,4.95,2.2,,,5.4,7.5,3.12,2.8,3.5
September,2.5,5,5.1,,,3.42,5.5,2.05,2.85,2.25
October,2.3,5.59,3.2,,,5.33,7.65,5.94,3.95,3.67
November,7.2,5.56,5.2,,,6,4.02,2.05,12.45,2.38
December,,7.5,7.2,,,7,11,5.44,4.5,8.23
Total,,61.18,46.73,,,60.1,66.42,44.84,47.54,42.98
,,,,,,,,,,
BR 1952 P() Ja Fe Estd,,,,,,,,,,
BR 1953 NP Low,,,,,,,,,,
BR 1954 NP -100 Deleted,,,,,,,,,,
1955 -100 Deleted,,,,,,,,,,
BR 1956 P,,,,,,,,,,
BR 1957 P,,,,,,,,,,
BR 1958 P,,,,,,,,,,
BR 1959 NP Low,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5799/2/5,,,,,,,,,
Midas,14477,,,,,,,,,
Hyd Stn,781673,,,,,,,,,
