ROSYTH HM DOCKYARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT 09723 82776,Long,-3.450194,Lat,56.029341,Elevation,53,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,1.88,1.01,1.45,1.62,3.05,2.72,2.75,4.32,2.6,1.43,2.47,2.47,3.36,1.69,4.72,0.92,2.44,1.26,2.91,2.16,1.77,,,,,,
February,,,,,1.83,2.39,2.71,0.52,2.44,1.86,2.33,0.29,1.95,2.99,0.72,2.79,3.56,1.59,2.67,1.11,0.71,1.27,0.05,1.86,0.09,,,,,,
March,,,,,3.31,1.59,3.03,1.66,0.9,1.88,2.2,2.62,1.27,1.3,1.05,1.99,1.2,1.77,2.41,0.27,1.64,1.08,2.18,0.9,2.99,,,,,,
April,,,,,0.79,0.6,1.71,2.06,0.5,2.25,1.35,0.62,2.07,2.51,1.23,2.43,1.31,0.94,0.79,1.43,1.12,2.03,1.65,0.98,4.4,,,,,,
May,,,,,1.79,1.01,4,1.7,2.91,0.56,2.2,1.24,1.24,0.75,4.63,3.66,2.29,1.59,1.29,1.59,1.15,3.21,3.38,1.81,1.07,,,,,,
June,,,,1.3,0.53,1.63,2.16,1.41,0.54,1.43,1.26,0.21,1.63,1.01,1.8,0.35,2.6,2.73,3.96,1.62,1.66,4.7,1.37,1.68,1.96,,,,,,
July,,,,0.69,3.24,2.67,5.06,1.6,3.26,0.94,2.56,2.04,2.88,2.36,3.23,1.89,3.33,2.19,1.43,2.97,3.43,4.42,2.02,4.43,3.48,,,,,,
August,,,,0.88,1.89,3.75,3.41,4.32,2.26,1.96,4.74,3.48,1.64,4.51,3.02,2.9,1.53,5.42,5.4,3.73,5.35,2.8,0.28,0.57,3.07,,,,,,
September,,,,2.18,0.63,1.64,1.15,0.62,3.64,1.62,1.28,1.42,2.05,1.84,3.4,3.15,3.32,4.85,2.19,0.4,3.19,1.09,2.35,1.85,1.93,,,,,,
October,,,,1.12,1.42,3.06,4.3,2.18,2.59,1.48,0.78,3.69,1.91,2.21,2.86,2.22,3.97,3.47,3.41,2.95,3.11,1.5,4.71,2.17,,,,,,,
November,,,,1.99,3.02,1.11,3.27,2.91,1.38,4.79,2.11,1.5,1.27,2.17,1.49,0.77,4.62,1.46,2.49,3.75,3.13,4.58,1.4,1.28,,,,,,,
December,,,,1.9,3.92,4.48,2.54,1.73,1.59,4.04,3.52,2.48,1.83,2.68,2.88,2.32,0.41,1.71,2.87,3.49,1.94,1,4.71,0.51,,,,,,,
Total,,,,,24.25,24.94,34.79,22.33,25.06,25.53,27.08,23.91,22.34,25.76,28.78,26.94,31.5,29.41,33.63,24.23,28.87,28.94,27.01,20.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 G Move Ja-May Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
