SHEFFIELD CROOKES (second gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK330872,Long,-1.505376,Lat,53.380625,Elevation,629,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,1.36,4.45,3.99,2.33,1.27,3.3,2.98,1.3,3.69,1.43,1.89,2.1,3.37,1.44,4.15,3.72,1.77,3.57,1.95,2.03,2.83,4.18,3.88,3.59,4.2,1.61,2.07,3.66,3.42,2.02,6.88,1.27,4.77,2.65,2.9,2.18,2.79,1.66,3.11,5.29,3.88,5.21,2.52,3.6,3,4.69,3.94,3.03,4.58,3.26,6.67,1.4,1.39,2.79,3.62,0.92,2.86,2.37,5.64,2.04,3.6,3.06,5.03,,,,,,,,
February,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,2.51,1.71,3.51,1.21,1.49,2.47,4.14,1.36,2.99,2.02,2.51,0.68,3.69,3.12,1.64,1.25,1.79,3.75,5.36,0.5,2.9,1.72,3.06,0.26,3.15,5.42,1.05,3.79,2.17,1.41,4.33,0.62,0.71,3.48,0.29,4.53,0.32,4.13,2.7,4.91,1.15,1.81,2.08,3.56,1.1,1.82,1.62,2.97,4.86,2.8,2.46,1.67,5.81,3.43,0.95,1.89,2.92,2.21,1.12,3.02,4.38,0.14,3.01,,,,,,,,
March,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,1.49,1.25,0.67,2.07,1.44,3.43,1.63,2.8,2.41,2.61,2.88,3.97,0.97,1.24,3.52,4.1,2.67,1.02,4.96,2.43,1.29,4.5,2.24,1.96,1.92,1.77,0.8,1.04,1.57,2.81,2.71,0.11,2.81,0.16,1.62,2.09,2.66,1.58,2,3.26,0.3,2.27,2.36,4.54,1.98,1.51,0.5,0.63,1.24,4.54,1.28,1.36,1.2,3.81,2.36,2.08,2.47,3.35,1.25,2.68,2.03,1.62,2.02,,,,,,,,
April,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,3.32,2.47,1.76,1.73,2.5,1.56,2.21,2.23,0.56,2.13,2.18,1.64,2.48,1.59,0.58,3.08,1.29,1.27,1.49,1.75,1.25,1.56,4.54,0.85,3.65,2.26,1.82,2.98,1.66,2.24,1.15,0.96,2.43,3.33,3.15,1.17,2.42,2.46,1.43,2.14,0.19,1.87,2.54,1.59,1.55,2.05,2.28,1.8,1.3,3.65,1.85,2.84,3.39,1.22,1.79,2.61,0.45,0.89,2.33,0.12,0.88,3.59,1.65,,,,,,,,
May,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,2.72,2.44,1.78,0.99,2.75,3.27,2.34,0.45,1.83,3.81,2.29,1.83,2.61,0.95,3.53,2.2,1.46,1.45,2.5,1.52,2.68,1.69,2.99,1.11,0.69,3.22,3.42,3.58,2.88,1.37,1.11,1.97,1.51,2.71,6.54,1.74,1.63,0.43,1.32,3.02,2.65,1.99,1.01,2.92,4.44,2.67,2.33,3.23,2.35,2.45,1.52,1.66,1.75,3.84,3,2.42,3.94,3.32,0.57,1.05,2.84,1.07,1.81,,,,,,,,
June,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1.95,3.16,1.04,1.53,1.15,0.51,3.14,1.75,3.66,1.56,3.03,2.97,2.09,3.9,0.87,2.15,1.48,2.16,2.32,0.62,0.5,3.32,0.29,1.31,0.69,1.65,0.09,3.11,3.89,3.23,1.46,1.01,4.14,0.67,1.17,1,2.9,3.46,1.02,1.95,2.34,0.59,0.28,1.12,1.54,2.29,3.53,3.41,2.73,3.28,0.58,1.18,0.68,1.64,2.17,2.46,3.3,3.28,1.21,5.35,1.35,1.78,,,,,,,,
July,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,1.34,2.57,2.78,3.25,1.93,2.22,1.79,1.57,1.41,2,2.54,3.28,1.86,0.17,5.56,1.32,2.15,4.11,1.19,1.08,3.65,4.96,4.55,0.47,3.14,5.21,2.5,0.87,2.48,2.5,0.69,1.14,6.11,4.14,4.34,2.2,1.71,0.74,3.68,2.87,3.48,4.9,2.65,3.99,2.18,1.38,2.35,1.91,2.75,1.42,1.11,4.5,1.73,1.39,1.26,2.7,2.2,1.21,5.96,3.46,5.94,1.46,2.89,,,,,,,,
August,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,3.45,1.25,4.47,1.45,4.32,4.29,3.88,3.94,1.85,2.36,3.01,2.02,3.39,1.72,5.41,1.27,1.28,2.02,1.32,4.89,1.43,2.84,0.92,4.65,8.45,2.87,2.5,3.12,2.55,4.67,2.57,1.95,2.33,5.42,2.22,0.43,1.07,1.82,1.32,0.54,3.44,2.37,0.34,2.76,3.79,2.54,2.56,2.91,4.47,0.53,4.8,1.63,3.39,5.41,1.52,3.32,6.71,0.76,6.08,4.76,2.74,0.93,3.34,,,,,,,,
September,,,,1.79,,,,,,,,,,,,,,,,,,,,,,,,,0.46,4.05,0.54,0.91,1.32,3.76,1.09,1.14,0.74,0.46,1.44,2.23,0.35,2.03,1.06,2.78,1.57,0.66,1.57,0.87,6.87,2.51,1.11,0.75,2.59,2.39,3.27,2.42,1.32,3.95,0.21,1.45,5.24,3.78,1.65,1.48,1.72,4.24,3,1.65,2.37,2.13,1.36,0.37,1.17,3.27,4.41,1.04,4.52,1.58,1.48,1.08,3.85,1.87,2.99,1.55,2.56,0.9,3.56,4.02,3.62,0.04,4.32,,,,,,,,
October,,,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,3.21,2.93,2.64,2.13,3.29,6.53,0.64,1.94,5.63,5.41,1.05,2.88,2.33,2.24,2.71,4.04,2.01,1.4,3.54,3.96,2.03,3.11,1.84,2.27,0.81,2.17,4.04,3.47,2.97,2.35,4.61,3.47,3.22,0.82,4.12,5.13,2.89,5.57,3.19,3.11,5,3.47,4.04,4.24,2.85,1.91,3.09,5.54,1.36,0.62,1.61,3.49,1.58,0.99,4.79,2.06,3.54,2.33,1.52,1.92,2.97,2.47,7.06,,,,,,,,
