MARHOLM-PETERBOROUGH,,,,,,,,,,,,,,,,,,,,
Grid ref,TF147020,Long,-0.30776166,Lat,52.603687,Elevation,63,ft,,,,,,,,,,,,
Station no,RR7051,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,,2.98,1.78,1.67,,,,,,,
February,,,,,,,,,,,0.92,1.32,0.41,,,,,,,
March,,,,,,,,,,,1.76,4.45,3.46,,,,,,,
April,,,,,,,,,,,0.53,0.74,1.23,,,,,,,
May,,,,,,,,,,1.6,3.11,0.91,2.21,,,,,,,
June,,,,,,,,,,2.75,5.41,1.88,1.7,,,,,,,
July,,,,,,,,,,1.24,2.22,8.47,1.87,,,,,,,
August,,,,,,,,,,2.19,4.1,1.29,2.76,,,,,,,
September,,,,,,,,,,2.92,3.33,0.73,2.92,,,,,,,
October,,,,,,,,,,2.67,4.31,0.76,2.08,,,,,,,
November,,,,,,,,,,1.37,2.54,2.17,1.04,,,,,,,
December,,,,,,,,,,1.7,1.88,0.72,0.89,,,,,,,
Total,,,,,,,,,,,33.09,25.22,22.24,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1859 values entered from notes at foot of 1860s TYR,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,
