"GRAVESEND THONG",,,,,,,,,,,,
Grid ref,TQ673705,Long,0.404121,Lat,51.408846,,,,,,,
Station no,RR4514,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.87,0.82,0.79,2.10,3.44,1.21,3.30,1.08,1.12,0.97,,
February,4.80,1.56,1.13,1.63,3.00,0.71,1.87,1.32,1.14,0.76,,
March,0.96,2.33,1.70,2.01,1.43,2.40,0.96,0.68,2.39,3.59,,
April,0.84,1.51,0.65,1.71,0.87,2.01,0.54,2.64,2.75,1.56,,
May,1.37,1.11,2.54,2.22,1.53,1.24,1.78,2.42,1.57,1.21,,
June,2.38,0.65,2.75,6.08,1.03,4.01,2.51,2.48,1.22,3.94,,
July,1.27,3.00,1.51,6.99,1.60,0.44,1.27,1.64,3.93,3.58,,
August,2.10,1.70,2.30,3.12,1.71,2.14,0.92,1.83,4.08,2.47,,
September,0.73,1.19,0.83,2.07,1.44,2.09,1.76,0.39,1.60,3.10,,
October,1.79,1.69,2.06,4.37,1.75,1.32,4.83,4.28,1.53,4.22,,
November,3.04,0.65,1.86,2.55,1.32,3.32,4.56,1.88,0.94,0.99,,
December,2.35,4.18,1.47,2.15,2.59,0.54,2.10,2.92,2.25,3.51,,
Total,24.50,20.39,19.59,37.00,21.71,21.43,26.40,23.56,24.52,29.90,,
Calc annual,24.50,20.39,19.59,37.00,21.71,21.43,26.40,23.56,24.52,29.90,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
