WIRSWALL-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ544440,Long,-2.6807752,Lat,52.991379,Elevation,505,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,1.76,1.91,1.91,3.68,1.12,,1.76,,1.45,1.79,1.48,3.45,2.42,3.06,5.55,,2.85,2.92,4.16,3.2,2.81,1.98,1.45,4.72,1.98,0.27,2.27,,,,,,,,,
February,,,,,,3.65,2.24,1.19,1.89,0.54,,2.06,,2.15,0.28,2.69,2.29,3.37,0.61,1.76,3.32,3.04,1.09,1.15,1.53,2.02,4.34,,1.47,0.84,4.05,1.71,,,,,,,,,
March,,,,,,0.67,0.47,2.41,1.55,0.31,2.58,0.45,1.73,2.22,1.69,0.62,2.49,1.93,0.57,1.9,2.07,2.65,1.58,1.02,0.72,0.94,0.86,,0.83,1.96,1.36,4.08,,,,,,,,,
April,,,,,,1,1.27,2.29,0.88,0.75,2.67,3.07,2.08,0.75,1.88,2.58,1.68,2.66,0.19,2.11,2.14,1.48,1.18,1.36,1.05,0.98,1.16,2.98,1.35,2.92,2.47,1.43,,,,,,,,,
May,,,,,,3.42,3.77,1.34,1.18,1.28,3.46,3.86,4.64,1.24,1.02,1.65,0.93,2.47,2.15,1.56,2.29,2.29,4.48,2.59,1.13,3.22,2.21,2.36,1.57,2.4,0.73,,,,,,,,,,
June,,,,,,0.05,1.27,4.89,3.95,1.62,0.4,4.05,0.49,2.09,1.15,2.92,2.94,1.36,2.43,2.03,1.1,0.68,0.71,2.11,2.09,2.16,2.48,1.44,3.55,0.44,1.19,,,,,,,,,,
July,,,,,,2.61,3.55,2.79,1.54,2.18,5.94,4.03,4.15,1.36,1.75,0.76,3.03,1.85,3.32,7.73,3.86,2.05,2.84,2.61,1.5,2.42,2.93,2.84,1.99,2.61,2.26,,,,,,,,,,
August,,,,,,3.82,2.79,3.79,2.81,3.33,2.62,5.17,2.3,1.2,3.46,1.37,1.16,2.46,3.94,1.98,0.55,3.23,2.74,3.12,3.06,3.43,4.61,0.45,2.65,1.33,4.59,,,,,,,,,,
September,,,,,,3.02,2.13,4.32,1.4,2.04,3.41,4.04,,0.95,1.32,3.92,4.82,1.96,1.31,0.93,2.15,1.05,1.76,3.09,3.51,1.2,2.88,1.47,1.48,0.97,3.71,,,,,,,,,,
October,,,,,,2.82,1.93,2.1,3.17,4.76,3.4,1.3,5.14,3.94,2.59,4.48,1.86,3,3.29,3,3.55,2.77,1.87,2.74,4.25,4.15,0.96,0.45,1.95,2.74,1.73,,,,,,,,,,
November,,,,,,2.66,4.78,2.61,3.58,4.65,2.68,4.47,2.16,1.46,1.94,4.48,2.76,1.54,3.03,4.08,6.26,3.07,0.95,2.73,4.42,0.33,3.92,2.54,1.76,2.37,2.92,,,,,,,,,,
December,,,,,,2.19,0.67,1.26,1.85,3.94,2.75,1.33,0.9,0.27,3.99,2.71,2.67,3.38,2.9,1.46,2.03,1.53,3.6,1.24,1.13,2.54,2.99,1.86,2.89,1.99,2.93,,,,,,,,,,
Total,,,,,,27.67,26.78,30.9,27.48,26.52,,35.59,,19.08,22.86,29.66,30.08,28.4,26.8,34.09,,26.69,25.72,27.92,27.59,26.2,31.32,,26.21,22.55,28.21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is Wirswall Hall. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
