"KIRKBY LONSDALE CASTERTON",,,,,,,,,,,,
Grid ref,SD625792,Long,-2.576429,Lat,54.207161,,,,,,,
Station no,RR2143,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.63,4.03,7.67,4.89,3.33,7.93,2.55,6.00,2.84,,
February,,1.38,1.71,5.22,4.14,3.52,3.46,2.73,3.45,3.26,,
March,,3.98,2.93,5.30,3.64,3.32,5.18,5.66,4.41,3.27,,
April,,2.65,1.77,2.25,5.10,4.43,2.04,2.01,3.00,4.10,,
May,,1.19,3.16,2.91,3.84,1.69,7.31,4.70,3.59,2.33,,
June,,2.58,1.18,2.74,2.09,2.81,3.53,9.30,3.65,2.85,,
July,,1.38,5.59,5.64,1.82,2.86,3.27,4.65,5.14,8.29,,
August,,4.32,2.92,9.83,3.53,6.01,6.27,5.70,5.13,5.10,,
September,,1.60,1.62,7.82,1.89,4.45,1.77,1.04,7.46,4.02,,
October,,4.99,3.61,10.55,3.14,3.86,7.40,4.66,2.36,6.89,,
November,,6.31,2.79,3.27,5.15,5.23,5.73,4.52,3.88,3.04,,
December,,6.20,3.84,3.97,4.72,2.15,4.02,6.68,4.09,8.97,,
Total,,39.21,35.15,67.17,43.95,43.66,57.91,54.20,52.16,54.96,,
Calc annual,0.00,39.21,35.15,67.17,43.95,43.66,57.91,54.20,52.16,54.96,,
Difference,NaN,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
