KIRKBY LONSDALE (CASTERTON) observer Samuel Morris then Rev Clarke. Daily gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD625792,Long,-2.576429,Lat,54.207161,Elevation,305,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,5.76,5.89,3.9,5.12,3.47,1.98,7.18,7.02,6.08,6.67,2.91,7.36,4.96,1.6,0.69,0.75,5.24,6.66,7.39,,,,,,,,,,,,,,,,,2.63,4.03,7.67,4.89,3.33,7.93,2.55,6,2.84,6.03,2.2,2.96,4.24,5.23,7.46,6.11,3.32,,
February,,,,,,,5.96,4.77,4.68,8.16,1.79,4.02,4.44,0.47,2.06,1.09,6.86,4.95,2.24,2.8,3.94,5.6,3.76,3.22,2.39,,,,,,,,,,,,,,,,,1.38,1.71,5.22,4.14,3.52,3.46,2.73,3.45,3.26,7.37,6.96,2.42,2.73,3.76,5.6,4.83,1.72,,
March,,,,,,,2.26,2.2,7.2,1.3,1.75,1.82,4.75,2.82,5.27,1.56,4.92,4.31,2.58,3.15,3.41,4.81,5.87,1.55,3.44,,,,,,,,,,,,,,,,,3.98,2.93,5.3,3.64,3.32,5.18,5.66,4.41,3.27,1.18,2.27,6.47,5.92,5.27,2.18,2.36,3.06,,
April,,,,,,,1.23,6,2.51,3.45,2.34,3.45,3.16,0.59,2.08,1.65,3.12,2.48,2.81,1.15,1.72,1.94,4.94,2.62,1.38,,,,,,,,,,,,,,,,,2.65,1.77,2.25,5.1,4.43,2.04,2.01,3,4.1,2.39,4.52,1.26,4.9,1.31,3.01,3.28,2.31,,
May,,,,,,,2.49,2.65,1.55,2.64,3.24,1.88,2.58,2.18,2.35,3.07,0.71,2.68,4.51,2.39,2.79,4.97,2.5,1.98,4.21,,,,,,,,,,,,,,,,,1.19,3.16,2.91,3.84,1.69,7.31,4.7,3.59,2.33,2.58,2.68,3.08,2.88,3.12,1.24,4.11,2.18,,
June,,,,,,,4.28,2.57,0.62,1.92,1.64,3.42,6.51,3.14,1.1,4.87,3.57,3.34,4.71,5.97,4.65,5.03,6.08,5.82,0.76,,,,,,,,,,,,,,,,,2.58,1.18,2.74,2.09,2.81,3.53,9.3,3.65,2.85,2.18,3.93,7.72,3.41,1.52,0.78,3.34,3.34,,
July,,,,,,,5.47,3.35,1.04,1.42,1.69,7.54,4.98,5.59,3.29,3.41,4.42,6.09,1.52,7.47,7.38,7.56,8.33,3.42,4.94,,,,,,,,,,,,,,,,,1.38,5.59,5.64,1.82,2.86,3.27,4.65,5.14,8.29,5.68,0.54,5.57,1.1,5,5.41,3.38,1.96,,
August,,,,,,,5.9,4.44,4.79,2.24,1.66,2.95,5.88,5.36,6.51,4.32,3.82,7.63,7.59,5.99,2.41,6.69,4.01,4.4,1.62,,,,,,,,,,,,,,,,,4.32,2.92,9.83,3.53,6.01,6.27,5.7,5.13,5.1,8.22,4.75,6.13,3.19,3.91,3.95,5.3,9.65,,
September,,,,,,,9.76,5.34,2.56,9.72,2.96,3.16,9.56,3.49,5.23,4.42,6.22,3.42,6.31,3.96,4.14,3.17,2.84,4.95,4.19,,,,,,,,,,,,,,,,,1.6,1.62,7.82,1.89,4.45,1.77,1.04,7.46,4.02,0.46,4.52,2.07,3.59,5.4,0.82,2.85,5.12,,
October,,,,,,,2.98,4.46,4.92,3.41,7.86,6.11,6.92,8.57,7.71,3.53,3.08,7.88,4.81,3.55,2.38,3.5,3.9,6.56,4.24,,,,,,,,,,,,,,,,,4.99,3.61,10.55,3.14,3.86,7.4,4.66,2.36,6.89,2.85,5.61,5.76,2.82,2.33,1.25,9.97,6.61,,
November,,,,,,,8.09,2.17,2.48,6.24,2.67,1.2,5.67,3.02,5.62,6.72,3.14,9.08,3.15,2.04,7.12,5.69,6.76,5.53,1.89,,,,,,,,,,,,,,,,,6.31,2.79,3.27,5.15,5.23,5.73,4.52,3.88,3.04,4.3,6.99,6.49,5.56,7.42,2.63,3.73,5.29,,
December,,,,,,,7.67,4.03,9.39,5.59,2.87,4.58,4.52,2.73,3.54,3.11,6.39,5.05,2.38,2.9,8,5.47,4.33,5.23,6.96,,,,,,,,,,,,,,,,,6.2,3.84,3.97,4.72,2.15,4.02,6.68,4.09,8.97,4.99,7.14,5.83,4.01,5.97,6.6,4.55,3.11,,
Total,,,,,,,61.85,47.87,45.64,51.21,33.94,42.11,66.15,44.98,50.84,44.42,49.16,64.27,47.57,42.97,48.63,55.18,58.56,51.94,43.41,,,,,,,,,,,,,,,,,39.21,35.15,67.17,43.95,43.66,57.91,54.2,52.16,54.96,48.23,52.11,55.76,44.35,50.24,40.93,53.81,47.67,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_06_pt1-page-075.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_09_pt4-page-004.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt5-page-017.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_24_pt1-page-002.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_22_pt1-page-267.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
