KIRKBY LONSDALE (CASTERTON). Observer Morris; monthly gauge,,,,,,,,,,,,,,,,,,,,
Grid ref,SD625792,Long,-2.576429,Lat,54.207161,Elevation,305,ft,,,,,,,,,,,,
Station no,RR2143,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,3.99,5.09,3.8,1.97,7.19,6.98,5.91,6.8,,,,
February,,,,,,,,,4.88,8.31,1.81,4.08,4.74,0.48,2.06,1.15,,,,
March,,,,,,,,,7.25,1.32,1.75,1.82,4.72,2.82,5.2,1.58,,,,
April,,,,,,,,,2.53,3.5,2.4,3.53,3.1,0.57,2.05,1.67,,,,
May,,,,,,,,,1.58,2.61,3.35,1.89,2.68,2.16,2.31,3.18,,,,
June,,,,,,,,,0.64,1.92,1.65,3.45,6.5,3.1,1.06,5.04,,,,
July,,,,,,,,,1.05,1.42,1.67,7.54,4.91,5.52,3.29,3.5,,,,
August,,,,,,,,,4.72,2.25,1.64,2.97,5.83,5.3,6.48,,,,,
September,,,,,,,,,2.52,9.72,3,3.13,9.52,3.43,5.07,4.39,,,,
October,,,,,,,,,4.91,3.44,7.82,6.09,6.74,8.43,7.7,3.6,,,,
November,,,,,,,,,2.6,6.3,2.69,1.3,5.69,2.93,5.45,6.73,,,,
December,,,,,,,,,9.38,5.6,2.88,4.63,4.45,2.69,3.53,3.19,,,,
Total,,,,,,,,,46.05,51.48,34.46,42.4,66.07,44.41,50.11,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_06_pt1-page-076.csv,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1870-1879_09_pt4-page-005.csv,,,,,,,,,,,,,,,,,,,,
1870 Aug=1.64,,,,,,,,,,,,,,,,,,,,
