KIRKBY LONSDALE CASTERTON CLERGY DAUGHTERS SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD626797,Long,-2.574958,Lat,54.211662,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,,7.25,4.66,2.92,7.93,4.12,6.04,3.7,6.2,2.19,2.89,4.42,6.36,6.37,5.78,3.01,4.7,6.33,6.64,8.99,4.45,,,,,,,
February,,,,5.7,3.96,3.28,3.23,2.8,2.53,2.14,7.6,6.7,2.69,2.63,4.02,5.46,4.44,1.42,7.23,1.4,5.11,0.15,4.47,4.2,0.69,,,,,
March,,,,5.94,3.63,3.48,5.46,5.68,3.74,3.27,1.19,1.87,6.53,5.89,5.06,2.02,2.05,2.77,1.97,4.96,5.06,5.91,2.94,1.29,1.87,,,,,
April,,,,1.81,4.83,4.61,1.5,2.34,2.66,3.41,2.52,4.19,1.07,5.02,1.01,2.65,2.9,2.13,1.45,2.02,5.04,1.32,1.4,3.04,,,,,,
May,,,,3.52,3.74,1.51,7.35,4.96,3.04,2.26,2.46,2.3,2.98,2.9,2.95,1.16,4.08,2.14,1.73,1.53,7.29,3.41,3.36,3,6.63,,,,,
June,,,,2.57,2.13,2.64,4.01,9.85,3.87,2.84,2.08,3.6,8.48,3.52,1.34,0.77,3.49,2.96,2.09,1.46,2.58,0.31,3.58,0.81,3.84,,,,,
July,,,,5.64,1.87,2.58,3.8,4.58,5.09,8.37,5.17,0.54,5.39,1.04,7.39,5.01,3.39,1.96,6.68,1.36,8.2,1.74,6.11,,,,,,,
August,,,,10.45,3.8,6.22,6.27,5.05,5.09,5.06,7.36,4.85,6.51,3.2,5.44,3.95,5.6,8.4,5.38,3.7,2.93,8.05,4.51,,,,,,,
September,,,,8.24,1.66,4.43,1.77,0.56,7.96,3.71,0.47,4.49,1.75,3.69,4.77,0.74,2.77,4.95,10.93,6.29,3.09,2.69,3.55,,,,,,,
October,,,,10.97,2.57,3.45,7.34,4.61,2.24,7.66,1.26,5.02,5.63,2.85,2.07,1.02,9.7,6.54,6.43,2.49,1.09,3.4,0.95,,,,,,,
November,,,,2.94,4.49,5.51,5.74,4.61,4.05,3.11,4.95,6.94,6.46,5.64,6.54,2.78,3.62,4.2,2.61,2.63,3.04,3.06,2.75,7.97,3.97,,,,,
December,,,,4.25,4.82,2.03,3.38,4.19,4.28,9.34,4.27,7.05,5.74,4.14,5.82,6.56,4.15,2.98,8.3,5.97,4.4,7.76,3.75,1.4,7.33,,,,,
Total,,,,69.28,42.16,42.66,57.78,53.35,50.59,54.87,45.53,49.74,56.12,44.94,52.77,38.49,51.97,43.46,59.5,40.14,54.47,46.79,41.82,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_24_pt1-page-003.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_22_pt1-page-268.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_25_pt1-page-193.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
