"BUDLEIGH SALTERTON",,,,,,,,,,,,
Grid ref,SY043832,Long,-3.354757,Lat,50.640605,,,,,,,
Station no,RR2131,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.15,2.15,0.70,1.78,4.33,3.32,2.84,3.51,4.51,4.11,,
February,3.95,0.47,1.43,3.24,2.09,0.27,4.56,3.70,0.40,4.06,,
March,4.32,2.60,0.56,3.28,1.95,0.94,3.17,2.00,4.49,2.84,,
April,1.64,2.77,2.83,0.09,1.24,0.66,0.06,0.43,3.13,3.04,,
May,2.63,2.65,3.04,1.83,3.93,0.66,1.48,2.94,1.41,2.11,,
June,0.92,1.45,1.86,3.81,3.07,1.52,0.99,3.97,1.60,0.89,,
July,2.35,0.89,2.78,2.93,3.00,2.08,3.31,2.19,1.84,4.36,,
August,4.23,4.02,1.83,2.76,0.30,3.34,2.33,5.41,3.26,5.56,,
September,3.88,2.99,2.69,2.45,1.27,5.69,2.18,3.65,0.17,6.50,,
October,0.84,5.50,2.74,2.45,2.04,2.17,2.11,2.22,2.73,11.29,,
November,5.19,4.45,1.95,6.16,4.03,1.15,1.99,2.97,6.48,4.35,,
December,2.38,2.69,0.82,3.05,4.74,4.57,2.24,4.13,6.55,3.86,,
Total,35.48,32.63,23.23,33.83,31.99,26.37,27.26,37.12,36.57,52.97,,
Calc annual,35.48,32.63,23.23,33.83,31.99,26.37,27.26,37.12,36.57,52.97,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
