BUDLEIGH-SALTERTON-MIX-(INNER-TING-TONG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY042831,Long,-3.3552,Lat,50.6401,Elevation,370,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1801/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.5,6.28,3.6,6.37,2.3,5.41,4.12,8.17,1.95,2.57,3.25,3.18,5.64,0.64,0.83,3.15,2.15,0.7,1.78,4.33,3.32,2.84,3.51,4.51,4.11
February,,,,,,3.65,6.27,0.94,1.6,3.96,3.68,0.41,1.38,0.56,1.75,2.55,1.82,1.15,1.53,5.55,3.95,0.47,1.43,3.24,2.09,0.27,4.56,3.7,0.4,4.06
March,,,,,,4.57,5.2,0.24,1.59,2.87,2.68,3.3,1.39,0.14,0.77,1.36,8.82,1.22,1.62,1.42,4.32,2.6,0.56,3.28,1.95,0.94,3.17,2,4.49,2.84
April,,,,,,2.74,3,0.17,2.43,3.42,1.68,1.79,0.92,1.98,0.67,2.51,2.53,2.31,1.59,1.85,1.64,2.77,2.83,0.09,1.24,0.66,0.06,0.43,3.13,3.04
May,,,,,,0.71,3.42,2.59,0.5,1.78,2.32,6.03,2.6,0.45,3.99,6.03,3.41,2.81,2.04,2.5,2.63,2.65,3.04,1.83,3.93,0.66,1.48,2.94,1.41,2.11
June,,,,,,2.42,0.9,1.88,3.15,0.76,1.83,0.9,1.39,1.92,2.68,2.39,2.68,1.81,0.64,1.01,0.92,1.45,1.86,3.81,3.07,1.52,0.99,3.97,1.6,0.89
July,,,,,0.42,5.6,2.79,4.24,5.42,2.31,0.83,2.04,2.35,2.77,2.11,1.2,1.48,1.1,1.77,4.48,2.35,0.89,2.78,2.93,3,2.08,3.31,2.19,1.84,4.36
August,,,,,2.54,0.25,1.73,5.02,4.61,0.05,3.9,3.89,2.54,4.63,2.17,4.09,1.29,3.52,0.99,3.46,4.23,4.02,1.83,2.76,0.3,3.34,2.33,5.41,3.26,5.56
September,,,,,2.92,3.34,3.06,1.35,1.72,1.48,0.96,2.59,3.4,1.72,2.88,4.63,1.88,1.35,4.38,4.43,3.88,2.99,2.69,2.45,1.27,5.69,2.18,3.65,0.17,6.5
October,,,,,4.35,1.19,3.94,2.97,4.97,4.27,1.61,3.98,3.72,4.09,3.58,2.53,0.98,3.13,5.74,1.8,0.84,5.5,2.74,2.45,2.04,2.17,2.11,2.22,2.73,11.29
November,,,,,6.13,2.62,2.34,5.95,5.14,6.53,2.37,0.81,2.2,5.46,1.16,5.54,2.1,1.71,4.15,5.37,5.19,4.45,1.95,6.16,4.03,1.15,1.99,2.97,6.48,4.35
December,,,,,5.3,3.84,3.24,4.79,1.82,3.27,2.73,4.02,3.72,2.59,5.1,4.12,2.13,6.27,1.1,3.58,2.38,2.69,0.82,3.05,4.74,4.57,2.24,4.13,6.55,3.86
Total,,,,,,37.43,42.17,33.74,39.32,33,30,33.88,33.78,28.26,29.43,40.2,32.3,32.02,26.19,36.28,35.48,32.63,23.23,33.83,31.99,26.37,27.26,37.12,36.57,52.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This gauge was about 1.5 miles N of the other gauges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDA archive has this gauge ending in 1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
