BUDLEIGH-SALTERTON-MIX-(FORE-ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY064819,Long,-3.3238,Lat,50.6294,Elevation,33,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,6.1,5.39,3.95,4.75,1.88,3.66,5.59,5.33,2.62,5.49,0.76,6.2,1.55,6.25,0.73,2.71,1.48,,,,,,,
February,,,,,,,3.12,2.26,1.51,2.42,2.11,2.34,4,4.94,3.75,3.23,2.92,1.09,1.7,5.13,4.14,5.19,2.21,,,,,,,
March,,,,,,,3.46,7.6,1.22,2.18,2.6,1.25,3,4.07,0.38,0.9,3.71,2.57,1.53,0.32,1.98,4.14,,,,,,,,
April,,,,,,,2.6,1.92,2.16,0.8,0.37,5,2.12,1.1,2.3,1.1,2.78,5.87,6.28,3.93,1.87,0.89,,,,,,,,
May,,,,,,,2.21,4.65,1.2,6.33,1.32,0.41,1.88,1.82,1.05,2.37,0.2,3.21,3.6,2.08,1.11,0.58,,,,,,,,
June,,,,,,,1.57,0.86,0.38,0.69,0.25,1.66,3.9,0.69,1.15,3.44,0.95,1.09,1.87,6.31,1.59,3.3,,,,,,,,
July,,,,,,,0.77,3.87,0.49,0.45,0.75,3.54,4.13,2.11,1.1,3.73,0.6,1.94,1.93,3.54,3.31,2.15,,,,,,,,
August,,,,,,,1.87,1.2,3.49,0.33,0.82,0.66,1.94,4.63,2.59,2.53,2.73,3.14,6.02,5.54,0.36,4.14,,,,,,,,
September,,,,,,,8.25,2.76,4.62,3.33,1.43,5.5,2.49,2.51,4.9,3.43,5.57,2.3,1.55,3.36,3.53,2.49,,,,,,,,
October,,,,,,,3.42,3.37,2.22,1.83,3.94,3.97,5.52,1.71,6.55,8.45,3.62,1.99,2.6,0.84,5.91,3.34,,,,,,,,
November,,,,,,,1.41,1.48,2.86,1.71,2.63,1.43,5.26,5.09,3.83,5.61,5.21,6.48,2.67,0.14,2.87,4.72,,,,,,,,
December,,,,,,,2.52,1.59,6.58,4.05,3.19,2.32,5.38,0.34,5.42,0.77,8.25,1.45,2.86,0.76,3.64,2.9,,,,,,,,
Total,,,,,,,37.3,36.95,30.68,28.87,21.29,31.74,45.21,34.34,35.64,41.05,37.3,37.33,34.16,38.2,31.04,36.55,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Observer lived in Fore St, in census next to the Temple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870 Oct "+" by value but no explanation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871 Sept "+" by value but no explanation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875 Gauge slightly sheltered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882 Mar Gauge moved 200 yrds N to E Terrace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
