BUDLEIGH-SALTERTON-MIX-(EAST-TERRACE),,,,,,,,,,,,,,,,,,,,
Grid ref,SY065820,Long,-3.323,Lat,50.6302,Elevation,80,ft,,,,,,,,,,,,
Station no,RR2131,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,2.25,3.11,2.06,5,2.44,1.3,0.48,4.33,,,,,,,,,
February,,,,4.56,4.12,3.35,1.43,0.42,0.96,1.89,1.25,,,,,,,,,
March,,,,1,2.63,1.04,3.56,1.46,3.73,2.88,1.07,,,,,,,,,
April,,,4.75,1.12,2.2,3.31,1.67,0.78,1.7,2.09,3.37,,,,,,,,,
May,,,1.73,1.61,0.82,2.85,2.95,1.72,1.44,2.49,1.77,,,,,,,,,
June,,,3.02,2.3,2.79,1.29,0.73,0.04,2.46,1.19,2.54,,,,,,,,,
July,,,2.85,2.51,3.2,0.21,2.88,0.73,4.78,3.03,2.56,,,,,,,,,
August,,,2.06,0.52,0.77,2.98,1.85,0.89,1.81,2.39,3.13,,,,,,,,,
September,,,3.21,4.57,2.1,3.53,1.57,2.77,0.8,1.18,0.73,,,,,,,,,
October,,,6.95,2.42,0.96,5.63,5.1,4.58,1.26,3.39,1.04,,,,,,,,,
November,,,3.95,3.12,1.13,3.24,1.96,3.48,7.55,1.06,2.43,,,,,,,,,
December,,,3.53,0.78,2.64,1.72,5.9,2.53,3.05,1.96,3.94,,,,,,,,,
Total,,,,26.76,26.47,31.21,34.6,21.84,30.84,24.03,28.16,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1882 Mar Gauge moved 200 yrds N from Fore St,,,,,,,,,,,,,,,,,,,,
Observer now at 7 E. Terrace,,,,,,,,,,,,,,,,,,,,
