WALSDEN-BROADHEAD-DRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD969170,Long,-2.0483731,Lat,53.649493,Elevation,1300,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,1.68,2.26,2.55,0.8,3.75,0.91,2.25,1.32,3.7,1.27,-999,2.88,1.9,3.15,1.41,-999,2.58,-999,2.57,3.58,,,,,,,,,
February,,,1.42,1.96,3.45,0.73,1.77,1.68,1.54,1.8,1.3,2.52,-999,0.97,1.84,2.55,-999,-999,3.4,-999,1.65,0,,,,,,,,,
March,,,1.12,4.1,2.27,2.54,2,2.17,2.28,2.53,0.72,1.42,3.94,2.92,3.76,-999,-999,-999,1.1,-999,2.22,1.8,,,,,,,,,
April,,,1.94,1.18,1.92,1.58,1.03,2,1.4,3.2,2.8,1.68,0.56,3.18,0.84,-999,1.48,-999,1.31,0.34,3.82,0.85,,,,,,,,,
May,,,2.05,4.75,1.96,0.85,2.54,3.07,2.37,2.18,2.2,1.32,3.11,2.68,1.58,2.12,2.5,2.1,2.4,1.72,5.07,2.24,,,,,,,,,
June,,,1.42,1.58,1.62,2.18,1.85,5.57,1.78,2.06,3.76,2.45,5.53,1.8,2.01,0.58,2.05,1.81,0.69,1.28,2.79,0,,,,,,,,,
July,,,1.47,3.4,1.54,2.52,2.08,2.39,3.56,5.5,3.14,0.45,2.35,1.1,3.2,4.53,1.7,1.45,3.34,0.03,7.75,1.04,,,,,,,,,
August,,,4.05,4.5,4.33,5.61,3.15,3,3.24,3.14,4.5,2.13,7.22,1.78,3.56,4.56,2.6,6.5,2.24,2.85,1.07,5.02,,,,,,,,,
September,,,2.39,5.16,0.8,2.06,0.82,0.72,2.75,2.45,0.27,3.57,2.03,1.75,2.04,1.21,1.71,1.2,9.06,1.14,1.7,1.62,,,,,,,,,
October,,,4.12,7.83,1.7,2.21,6.08,5.8,2.28,4.15,2.24,2.58,3.91,2.25,2.09,1.75,4.45,4.3,2.12,2.85,1.06,3.01,,,,,,,,,
November,,,2.02,2.2,1.6,3.9,3.6,3.4,1.58,0.7,5.58,3.88,1.35,4.29,3.26,-999,2.33,1.1,1.45,2.05,1.21,2.31,,,,,,,,,
December,,,3.33,1.7,2.08,0.83,1.9,2.95,2,4.9,3.18,4.92,3.36,1.24,4.98,-999,2.07,1.3,4.9,4.68,3.3,4.1,,,,,,,,,
Total,,,27.01,40.62,25.82,25.81,30.57,33.66,27.03,33.93,33.39,28.19,39.56,26.84,31.06,30.33,27.05,22.27,34.59,23.29,34.21,25.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is a rain gauge shown on OS map beside Broadhead Drain at stated altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
