LOCH TURRET (UPPER GLENTURRET),,,,,,,,,,,,,,,,,,,,
Grid ref,NN795299,Long,-3.956337,Lat,56.445826,Elevation,1400,ft,,,,,,,,,,,,
Station no,5545/7/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.8,6.3,4.72,6.9,4,2.55,6.05,4.9,4.6,9.75,7.2,3.15,6.4
February,,,,,,,,9.29,6.3,10.05,6.2,2,2.2,6.6,3.3,2.2,8.5,4.15,2.3,7.15
March,,,,,,,,6.45,2.55,3.93,5.8,5.5,1.9,7.6,4.6,4.5,5.91,3.8,5.45,3.8
April,,,,,,,12.1,3.65,4.9,5.33,6.13,3.8,2.68,1.75,3,1.5,3.1,2.85,5.9,7.55
May,,,,,,,5.35,5.25,3.95,4.11,1.8,3.4,3.32,6.35,3.3,3.85,2.75,4.75,1.6,4.35
June,,,,,,,5.7,6.15,1.7,2.6,2.75,3.7,2.71,3.67,2.95,4,2.65,3.95,1.65,3.15
July,,,,,,,5.55,3.85,1.55,7.77,3.28,3.15,7,3.85,1.55,5.75,6.1,7.05,6.45,4.7
August,,,,,,,0,7.85,6.03,10.81,8.43,6.2,3.33,4.1,1.3,7.2,6.35,5.15,3,6.4
September,,,,,,,7.55,6.6,2.3,10.31,4.69,2.55,7.3,7.55,3.95,8.15,4.3,6.6,1.6,6.65
October,,,,,,,4.4,7.45,10.85,6,2.1,5.5,3.9,9.95,5.25,4.75,3.8,5.45,7.25,7.45
November,,,,,,,7.15,4.25,6.41,6.74,14.79,3.05,8.05,14.3,3.3,1.75,1.95,1.9,12.5,12
December,,,,,,,2.31,11.35,9.4,3.49,9.4,4.2,7.65,8.8,13.1,11.5,10,8,13.65,7.45
Total,,,,,,,,80.94,62.24,75.86,72.27,47.05,52.59,80.57,50.5,59.75,65.16,60.85,64.5,77.05
,,,,,,,,,,,,,,,,,,,,
BR 1947 NP too much est Ja Feb Mar Deleted,,,,,,,,,,,,,,,,,,,,
BR 1948 P Ja Est,,,,,,,,,,,,,,,,,,,,
BR 1950 P Nov Dec apportioned,,,,,,,,,,,,,,,,,,,,
BR 1951 P Ja Fe estd,,,,,,,,,,,,,,,,,,,,
BR 1953 P() JaFe JuJul Estd,,,,,,,,,,,,,,,,,,,,
BR 1954 P JaFe est,,,,,,,,,,,,,,,,,,,,
BR 1955 P JaFe est,,,,,,,,,,,,,,,,,,,,
BR 1956 P,,,,,,,,,,,,,,,,,,,,
BR 1957 P,,,,,,,,,,,,,,,,,,,,
BR 1958 P () dec estd,,,,,,,,,,,,,,,,,,,,
BR 1959 P,,,,,,,,,,,,,,,,,,,,
BR 1960 P () JaFe Ap Oct-Dec Estd,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5545/7/2,,,,,,,,,,,,,,,,,,,
Midas,15327,to 1970,,,,,,,,,,,,,,,,,,
Hyd Stn,880941,,,,,,,,,,,,,,,,,,,
