LOCH TURRET (UPPER GLENTURRET),,,,,,,,,,,,
Grid ref,NN795299,Long,-3.956337,Lat,56.445826,,,,,,,
Station no,5545/7/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.90,4.00,2.55,6.05,4.90,4.60,9.75,7.20,3.15,6.40,,
February,6.20,2.00,2.20,6.60,3.30,2.20,8.50,4.15,2.30,7.15,,
March,5.80,5.50,1.90,7.60,4.60,4.50,5.91,3.80,5.45,3.80,,
April,6.13,3.80,2.68,1.75,3.00,1.50,3.10,2.85,5.90,7.55,,
May,1.80,3.40,3.32,6.35,3.30,3.85,2.75,4.75,1.60,4.35,,
June,2.75,3.70,2.71,3.67,2.95,4.00,2.65,3.95,1.65,3.15,,
July,3.28,3.15,7.00,3.85,1.55,5.75,6.10,7.05,6.45,4.70,,
August,8.43,6.20,3.33,4.10,1.30,7.20,6.35,5.15,3.00,6.40,,
September,4.69,2.55,7.30,7.55,3.95,8.15,4.30,6.60,1.60,6.65,,
October,2.10,5.50,3.90,9.95,5.25,4.75,3.80,5.45,7.25,7.45,,
November,14.79,3.05,8.05,14.30,3.30,1.75,1.95,1.90,12.50,12.00,,
December,9.40,4.20,7.65,8.80,13.10,11.50,10.00,8.00,13.65,7.45,,
Total,72.27,47.05,52.59,80.57,50.50,59.75,65.16,60.85,64.50,77.05,,
Calc annual,72.27,47.05,52.59,80.57,50.50,59.75,65.16,60.85,64.50,77.05,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
