"MOSS MOOR (LINSGREAVE)",,,,,,,,,,,,
Grid ref,SD986143,Long,-2.022642,Lat,53.625232,,,,,,,
Station no,3206,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.44,5.46,2.18,4.85,3.12,5.87,5.44,4.96,4.49,6.14,,
February,3.97,1.60,2.38,3.16,2.74,1.42,3.66,8.01,0.69,4.84,,
March,6.51,3.53,2.90,3.36,2.51,2.22,4.94,2.92,2.39,1.84,,
April,3.01,4.55,4.30,1.09,2.66,3.38,0.58,1.58,4.80,3.16,,
May,3.16,2.35,3.98,4.06,4.69,2.32,1.56,5.13,2.73,2.29,,
June,1.18,4.39,3.84,4.72,4.02,4.32,2.76,6.81,3.37,2.12,,
July,5.36,3.72,7.77,6.81,1.36,9.05,7.02,5.93,4.17,9.15,,
August,7.89,5.55,6.30,8.12,1.32,14.02,7.66,6.33,0.65,6.99,,
September,4.09,4.81,4.31,8.06,3.63,5.14,6.99,5.77,0.70,4.04,,
October,1.73,6.64,2.89,10.43,3.25,3.60,8.07,5.57,5.50,5.71,,
November,10.39,3.15,5.59,8.30,2.96,2.52,3.32,2.14,5.62,8.62,,
December,9.04,4.57,2.50,8.59,7.61,5.55,5.88,5.34,8.55,4.69,,
Total,61.77,50.32,48.94,71.55,39.87,59.41,57.88,60.49,43.66,59.59,,
Calc annual,61.77,50.32,48.94,71.55,39.87,59.41,57.88,60.49,43.66,59.59,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
