HORSHAM-DENNE-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ1693728956,Long,-0.33316076,Lat,51.04806,Elevation,262,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,3.48,1.25,0.91,2.61,5.02,1.53,5.71,1.24,1.44,1.14,2.7,1.55,,,,3.87,,,,
February,,,,,,,,,,,5.86,1.54,1.45,1.51,3.62,0.81,3.24,1.4,1,0.43,3.77,1.54,,,,5.05,,,,
March,,,,,,,,,,,0.95,2.34,1.95,3.13,1.28,3.98,1.44,0.92,2.59,3.89,1.28,1.77,,,,0.72,,,,
April,,,,,,,,,,,0.73,2.35,1.05,2.49,1.58,1.8,0.69,4.05,2.84,1.41,2.43,1.3,,,,1.47,,,,
May,,,,,,,,,,,1.53,1.17,2.78,2.93,4.33,0.51,1.46,2.28,2.31,1.58,2.03,1,,,,3.39,,,,
June,,,,,,,,,,,3,2.09,3.13,3.44,0.77,4.97,1.8,1.83,2.19,2.73,3.25,2.13,,,,1.32,,,,
July,,,,,,,,,,,1.44,3.84,1.21,3.47,0.78,0.39,0.75,1.11,2.32,2.5,2.74,0.43,,,,4.49,,,,
August,,,,,,,,,,,1.82,1.9,5.09,4.18,2.08,3.68,1.14,2.11,4.45,3.12,,2,,,,1.64,,,,
September,,,,,,,,,,,1.28,1.97,1.72,3.47,2,2.06,1.27,0.56,1,3.34,0.6,1.15,,,,2.09,,,,
October,,,,,,,,,,2.07,2.19,3.99,2.57,7.56,2.16,1.52,4.84,5.57,2.09,6.59,3,5.08,,,,3.42,,,,
November,,,,,,,,,,5.04,3,0.64,3.37,1.8,1.3,5.55,5.62,2.52,1.29,1.1,3.82,5.58,,,,3.34,,,,
December,,,,,,,,,,1.64,3.52,5.02,1.54,2.34,3.71,0.86,2.54,3.32,3.96,4.67,4.18,7.67,,,,7.79,,,,
Total,,,,,,,,,,,28.8,28.1,26.77,38.93,28.63,27.66,30.5,26.91,27.48,32.5,,31.2,,,,38.59,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
