CALDECOTT (PUMPING STATION),,,,,,,,,,,,
Grid ref,SP864932,Long,-0.727802,Lat,52.529828,,,,,,,
Station no,2494/2/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,0.77,2.30,3.37,3.99,,
February,,,,,,,2.31,3.07,0.05,1.51,,
March,,,,,,,2.06,1.56,1.76,1.78,,
April,,,,,,,0.18,0.54,1.79,0.43,,
May,,,,,,,1.22,1.96,0.41,1.09,,
June,,,,,,,1.74,4.63,0.43,2.56,,
July,,,,,,,2.62,2.21,2.05,2.73,,
August,,,,,,,2.63,2.28,0.75,2.64,,
September,,,,,,,4.53,1.33,0.02,3.72,,
October,,,,,,,1.09,2.14,1.28,4.87,,
November,,,,,,,1.42,1.46,2.23,2.65,,
December,,,,,,,2.00,1.98,3.89,2.75,,
Total,,,,,,,22.57,25.46,18.03,30.72,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,22.57,25.46,18.03,30.72,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
