STAMFORD - ST MARTINS,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF031067,Long,-0.478,Lat,52.648,Elevation,107,ft,,,,,,,,,,,,,
Station no,RR4409,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907
January,2.66,0.83,1.31,2.01,1.34,1.05,1.45,1.45,2.72,0.85,2.21,0.78,2.42,3.17,0.89,0.88,1.81,1.91,0.97,3.68,1.02
February,0.35,2.38,2.10,1.04,0.08,2.19,2.21,1.64,0.22,0.59,3.09,0.50,1.46,3.16,1.15,1.92,0.79,3.46,0.65,1.83,1.33
March,1.89,2.52,2.24,2.12,1.08,1.12,0.28,0.59,1.74,1.98,2.84,1.07,0.74,0.61,1.78,1.26,2.65,1.86,2.45,1.33,1.31
April,1.22,2.75,2.78,0.71,1.13,0.50,0.29,1.40,1.45,0.51,1.40,2.33,1.77,0.87,2.03,1.47,1.18,1.14,2.09,0.65,2.76
May,1.75,1.00,5.01,3.74,2.42,1.94,0.79,1.24,0.49,0.47,1.31,2.66,2.24,1.45,2.23,3.12,4.02,1.60,0.97,1.66,3.87
June,1.11,1.85,0.25,2.09,2.78,2.27,1.08,1.87,0.72,2.74,2.10,1.14,1.26,1.49,1.72,1.92,1.97,0.54,1.74,2.60,1.51
July,0.63,4.33,2.62,2.80,1.92,2.03,2.66,3.36,2.76,1.52,0.22,0.88,0.77,1.29,2.52,1.15,2.21,2.35,3.08,1.36,1.71
August,0.79,1.82,2.66,1.89,2.86,1.69,1.90,2.39,1.42,1.67,3.38,3.09,0.81,3.90,1.79,3.67,4.72,2.22,3.31,1.65,3.08
September,1.62,1.47,2.07,0.40,1.16,2.32,1.32,1.13,0.66,4.07,2.69,0.47,4.35,0.44,1.35,2.24,3.32,1.72,2.66,1.03,0.78
October,2.12,0.37,3.25,1.09,4.64,4.03,2.04,2.77,1.70,3.15,1.11,2.33,3.03,1.86,2.39,1.99,6.27,0.64,1.11,3.87,3.13
November,2.02,3.12,0.64,3.40,3.03,0.91,2.05,2.94,3.38,0.98,1.22,1.91,1.26,2.75,1.22,2.00,1.75,1.26,2.97,3.97,2.01
December,1.01,1.44,1.54,0.54,2.78,0.93,1.34,1.53,1.92,3.02,1.60,1.69,1.58,4.50,4.76,1.30,1.07,1.63,0.63,2.39,3.00
Total,17.17,23.88,26.47,21.83,25.22,20.98,17.41,22.31,19.18,21.55,23.17,18.85,21.69,25.49,23.83,22.92,31.76,20.33,22.63,26.02,25.51
,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/004,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_06_pt1/242,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_08_pt1/105,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"# The observer, T.Booth, recorded rainfall at Castle Cottage, Stamford, and then at St Martin's, Stamford.",,,,,,,,,,,,,,,,,,,,,
"# The directions shown on the 1880s rainfall sheet indicate the move to St Martin's happened by 1887, although",,,,,,,,,,,,,,,,,,,,,
"# British Rainfall lists Booth at Castle Cottage until 1892, and at St Martin's from 1894 onwards.",,,,,,,,,,,,,,,,,,,,,
# So there is some doubt about when the move happened. This file assumes the move was at the start of 1887.,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
"# The reading for February 1895, and totals for 1893 and 1895 are shown bracketed, presumably because of minor gauge moves",,,,,,,,,,,,,,,,,,,,,
# described on the 1890s sheet. These values have been retained.,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
"# The St Martin's site is in the part of Stamford which is south of the River Welland, and so was in Northamptonshire rather than Lincolnshire.",,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
"# In 1908, the observer moved to St George's Square, Stamford.",,,,,,,,,,,,,,,,,,,,,
