STAMFORD - CASTLE COTTAGE,,,,,,,,
Grid ref,TF028070,Long,-0.482,Lat,52.651,Elevation,100,ft
Station no,RR4409,,,,,,,
,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,
January,,,,,1.85,1.21,2.80,
February,,,,,0.74,2.12,0.31,
March,,,,,1.09,1.14,2.07,
April,,,,,1.16,2.02,1.43,
May,,,,,1.14,2.09,4.70,
June,,,,,0.91,2.55,0.43,
July,,,,,3.09,0.17,4.93,
August,,,,,1.62,2.75,1.88,
September,,,,,1.33,3.03,1.20,
October,,,,,1.05,4.95,4.40,
November,,,,,1.46,3.41,2.42,
December,,,,,1.89,0.81,4.06,
Total,,,,,17.33,26.25,30.63,
,,,,,,,,
TYRain_1880-1889_08_pt1/004,,,,,,,,
,,,,,,,,
"# The observer, T.Booth, recorded rainfall at Castle Cottage, Stamford, and then at St Martin's, Stamford.",,,,,,,,
"# The directions shown on the 1880s rainfall sheet indicate the move to St Martin's happened by 1887, although",,,,,,,,
"# British Rainfall lists Booth at Castle Cottage until 1892, and at St Martin's from 1894 onwards.",,,,,,,,
# So there is some doubt about when the move happened. This file assumes the move was at the start of 1887.,,,,,,,,
#,,,,,,,,
# Castle Cottage seems to be located on Sheep Market in Stamford.,,,,,,,,
