"STAMFORD ST MARTIN'S",,,,,,,,,,,,
Grid ref,TF029065,Long,-0.480531,Lat,52.646487,,,,,,,
Station no,RR4409,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.17,0.89,0.88,1.81,1.91,0.97,3.68,1.02,,,,
February,3.16,1.15,1.92,0.79,3.46,0.65,1.83,1.33,,,,
March,0.61,1.78,1.26,2.65,1.86,2.45,1.33,1.31,,,,
April,0.87,2.03,1.47,1.18,1.14,2.09,0.65,2.76,,,,
May,1.45,2.23,3.12,4.02,1.60,0.97,1.66,3.87,,,,
June,1.49,1.72,1.92,1.97,0.54,1.74,2.60,1.51,,,,
July,1.29,2.52,1.15,2.21,2.35,3.08,1.36,1.71,,,,
August,3.90,1.79,3.67,4.72,2.22,3.31,1.65,3.08,,,,
September,0.44,1.35,2.24,3.32,1.72,2.66,1.03,0.78,,,,
October,1.86,2.39,1.99,6.27,0.64,1.11,3.87,3.13,,,,
November,2.75,1.22,2.00,1.75,1.26,2.97,3.97,2.01,,,,
December,4.50,4.76,1.30,1.07,1.63,0.63,2.39,3.00,,,,
Total,25.49,23.83,22.92,31.76,20.33,22.63,26.02,25.51,,,,
Calc annual,25.49,23.83,22.92,31.76,20.33,22.63,26.02,25.51,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,,
