ALDERSHOT-RES-(NEW-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU859502,Long,-0.76997,Lat,51.24525,Elevation,394,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,751/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.72,2.85,2.1,2.46,0.81,5.17,5.94,3.1,5.34,3.11,2.69,3.66,5.82,1.82,2.57,2.47,2.4,5.5,1.08,0.71,3.76,2.14,0.99,1.41,2.79,4.37,2.06,2.82,2.73,3.18
February,1.65,0.16,4.58,0.13,3.3,2.3,4.71,0.54,1.49,2.83,2.91,0.77,1.72,0.92,2.38,2.81,1.18,1.25,1.35,4.77,5.77,0.63,1.46,2.84,1.51,0.26,4.07,2.36,0.15,2.54
March,0.26,1.63,3.59,2.7,0.37,1.9,3.9,0.19,1.17,3.01,3.49,1.86,0.42,0.2,0.61,1.21,4.93,0.89,1.43,1.18,4.36,2.5,0.39,2.45,1.13,0.7,1.52,1.77,2.88,1.53
April,4.07,2.68,1.12,1.92,3.59,1.8,2.44,0.05,2.35,2,1.4,1.7,1.27,1.06,1.57,1.82,2.06,2.15,2.79,2.7,2.57,2.17,2.18,0.33,0.37,1.06,0.33,1,2.5,0.62
May,3.75,5.31,3.08,0.78,1.1,0.99,3.38,1.26,1.34,1.23,2.12,3.03,2.68,0.69,1.51,3.17,1.63,3.05,2.49,1.6,2.92,2.7,2.22,2.94,3.71,0.26,1.16,2.09,1.1,1.97
June,3.03,1.42,1.92,1.31,3.64,3.72,1.87,0.46,1.52,0.87,1.82,0.25,1.11,2.71,2.48,2.63,2.21,1.98,0.63,0.9,1.08,1.65,1.44,2.34,2.5,2.26,0.88,3.4,0.7,1.29
July,3.73,2.33,1.48,1.14,1.9,3.96,0.66,1.58,3.02,2.8,2.51,1.79,1.77,1.8,5.01,3.21,1.61,1,0.5,4.54,2.31,0.68,3.27,2.69,1.25,3.58,3.85,1.14,3.58,3.13
August,4.78,1.52,0.43,2.03,3.38,0.77,1.09,1.63,1.84,0.1,5.44,2.82,1.84,1.36,1.08,4.6,0.36,3.59,1.28,4.3,4.45,2.82,2.03,3.52,1.17,3.25,2.07,4.41,1.85,3.61
September,2.03,2.49,4.52,1.41,4.14,2.37,2.2,1.02,1.39,1.72,0.16,1.23,1.71,2.56,2.3,4.57,1.34,1.75,1.3,3.5,2.33,3.32,2.26,2.24,1.99,3.64,2.98,4.61,0.11,3.57
October,0.59,4.41,1.98,1.37,3.9,1.68,2.55,3.1,4.54,3.7,1.12,3.46,3.23,4.59,3.74,1.11,0.53,2.21,6.63,0.61,0.76,3.61,3.5,2.36,4.38,2.32,1.8,2.95,2.53,7.91
November,3.61,1.34,0.8,2.24,5.98,3.06,2.21,3.94,5.54,7.92,3.06,2.08,1.83,4.39,0.21,5.26,1.26,1.7,2.87,5.86,7.85,3.19,1.73,5.12,2.57,0.8,3.15,2.77,3.36,4.73
December,0.53,0.54,0.58,6.59,2.98,3.28,4.3,3.73,1.45,1.46,1.77,3.7,1.7,2.47,3.77,3.21,2.53,3.87,1.44,1.78,2.7,2.53,0.78,2.52,3.1,4.25,2.22,2.77,5.15,3.14
Total,29.75,26.68,26.18,24.08,35.09,31,35.25,20.6,30.99,30.75,28.49,26.35,25.1,24.57,27.23,36.07,22.04,28.94,23.79,32.45,40.86,27.94,22.25,30.76,26.47,26.75,26.09,32.09,26.64,37.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 New gauge Assumed in same location as old gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Oct 18th Inspection Site good Gauge satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Dec Adjusted for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Feb Inspection New site indicated Not daily readings but first of month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Feb 1st Gauge moved to site recommended by inspector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
