STREAT-HILL-FARM,,,,,,,,,,
Grid ref,TQ351126,Long,-0.080265,Lat,50.897085,Elevation,650,ft,,
Station no,0490/8/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.26,3.21
February,,,,,,,,,0.09,3.15
March,,,,,,,,,2.26,2.32
April,,,,,,,,,3.08,1.25
May,,,,,,,,3.28,0.62,1.82
June,,,,,,,,4.14,1.88,2.31
July,,,,,,,,3.13,2.14,4.8
August,,,,,,,,6.27,1.45,7.65
September,,,,,,,,5.41,0.22,4.36
October,,,,,,,,4.01,3.57,7.91
November,,,,,,,,3.28,4.16,11.75
December,,,,,,,,6.02,9.43,6
Total,,,,,,,,,33.16,56.53
