DINORWIC QUARRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH594600,Long,-4.1023,Lat,53.1193,Elevation,850,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,5.6,13.69,9.35,7.57,7.82,5.11,,,,,,,,,,,,,8.86,6.22,5.06,5.43,5.87,2.91,3.12,10.31,4.25,,,,,,,,
February,,,,,,4,7.82,4.65,6.04,7.21,4.58,,,,,,,,,,,,,9.19,9.75,11.81,2.19,3.2,1.79,3.03,1.71,,,,,,,,,
March,,,,,,2.7,6.43,4.55,8.14,2.78,3.26,,,,,,,,,,,,,3.71,7.97,5.54,6.51,3,3.65,4.04,5.62,,,,,,,,,
April,,,,,,1.1,4.44,7.49,4.4,4.89,3.58,,,,,,,,,,,,,1.42,3.61,5.96,3.45,2.62,3.51,6.03,1.83,,,,,,,,,
May,,,,,2.35,8.32,1.34,3.02,3.62,3.07,2.78,,,,,,,,,,,,,3.42,4.34,2.52,5.3,4.78,3.28,4.65,3.48,,,,,,,,,
June,,,,,5.98,1.15,6.5,1.57,0.55,2.28,2.15,,,,,,,,,,,,,4.84,1.96,2.15,1.9,1.35,4.49,0.47,4.73,,,,,,,,,
July,,,,,2.43,5.75,1.64,6.59,1.87,2.33,1.44,,,,,,,,,,,,4.78,4.52,6.5,2.81,5.61,4.39,7.68,2.51,3.86,,,,,,,,,
August,,,,,6.12,7.2,4.55,3.68,5.74,1.3,2.83,,,,,,,,,,,,5.97,5.07,1.61,4.27,3.08,3.07,6.08,7.78,5.37,,,,,,,,,
September,,,,,7.8,0.9,8.65,6.18,2.85,13.22,5.02,,,,,,,,,,,,4.46,8.04,4.74,7.82,7.76,6.06,1.97,2.84,3.04,,,,,,,,,
October,,,,,4.4,7.67,3.3,7.77,7.91,3.08,12.79,,,,,,,,,,,,6.55,11.01,4.18,8.87,10.09,5.04,7.3,7.37,4.02,,,,,,,,,
November,,,,,9.8,9,8,1.06,5.78,6.15,8.13,,,,,,,,,,,,9,8.08,5.21,6.26,7.81,4.44,8.11,3.68,9.63,,,,,,,,,
December,,,,,4.82,8.8,7.25,7.53,14.53,5.25,5.92,,,,,,,,,,,,6.88,5.59,6.65,2.15,8.86,6.53,7.34,8.09,1.42,,,,,,,,,
Total,,,,,,62.19,73.61,63.44,69,59.38,57.59,,,,,,,,,,,,,73.75,62.74,65.22,67.99,50.35,58.11,53.61,55.02,,,,,,,,,
