LYMINGTON-WAINSFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ295951,Long,-1.58222,Lat,50.75546,Elevation,58,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,4.85,4.13,3.33,3.5,1.68,2.54,6.01,3.83,1.96,4.41,1.33,6.62,1.43,4.19,0.95,1.61,1.21,2.11,,,,,,
February,,,,,,,4.52,2.17,1.48,2.39,2.09,1.63,2.17,3.21,1.89,2.43,3.21,1.54,2.46,4.2,3.34,3.32,1.26,3.71,,,,,,
March,,,,,,,2.41,3.4,1.79,2.86,1.49,0.96,2.47,2.86,0.37,0.78,3.45,1.84,1.92,0.55,1.03,2.27,0.54,0.77,,,,,,
April,,,,,,,1.85,1.94,2.59,1.19,0.42,4,1.57,0.81,2.14,1.66,1.62,2.68,2.86,2.23,1.84,0.62,3.94,0.93,,,,,,
May,,,,,,,1.57,1.56,1.86,4.07,1.26,0.28,2.81,0.99,0.67,2.3,0.13,2.34,3.1,1.45,0.29,1.22,1.02,1.98,,,,,,
June,,,,,,,1.96,1.53,0.63,1.34,0.13,2.13,2.58,2.95,1.51,2.97,1.58,0.75,1.75,5.02,2.93,1.86,3.41,1.75,,,,,,
July,,,,,,,0.97,4.05,0.87,1.07,1.53,3.67,4.03,1.86,1.74,4.11,0.68,2.62,1.13,3.18,3.1,1.35,2.27,1.39,,,,,,
August,,,,,,,3.34,2.32,4.88,0.62,1.56,1.39,1.67,3.26,2.14,1.51,3.13,2.56,3.37,5.34,1.03,4.03,2.15,0.85,,,,,,
September,,,,,,,7.4,4.05,4.29,5.13,1.99,5.59,2.1,2.53,2.48,1.61,3.38,2.03,2.01,4.08,4.29,2.13,2.55,3.45,,,,,,
October,,,,,,,1.49,3.52,2.55,1.79,4.22,1.72,5.78,3.49,4.28,4.89,2.2,2.61,2.68,0.96,5.78,1.4,8.03,2.37,,,,,,
November,,,,,,,1.87,1.04,1.83,1.46,2.02,0.85,5.19,3.29,3.36,4.41,4.47,7.39,2.59,0.49,2.77,4.39,3.65,4.19,,,,,,
December,,,,,,,2.03,1.12,7.36,3.35,3.21,2.27,4.99,0.7,2.76,1.16,6.81,1.51,1.47,0.92,5.1,2.87,2.76,0.9,,,,,,
Total,,,,,,,34.26,30.83,33.46,28.77,21.6,27.03,41.37,29.78,25.3,32.24,31.99,34.49,26.77,32.61,32.45,27.07,32.79,24.4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867 Sept 10 2.01 Nearly all fell in one hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
