WEST DERBY BASIL GRANGE,,,,,,,,,,,,
Grid ref,SJ393923,Long,-2.914904,Lat,53.423985,,,,,,,
Station no,RR6972,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.52,1.92,5.55,1.23,2.11,2.09,,
February,,,,,4.19,1.55,2.73,1.87,2.97,1.02,,
March,,,,,1.41,3.45,2.79,2.33,3.03,3.06,,
April,,,,,1.30,2.48,1.56,1.50,2.98,2.69,,
May,,,,,1.60,0.51,3.10,3.34,3.24,1.72,,
June,,,,,2.56,1.48,1.55,7.01,2.60,2.61,,
July,,,,,1.58,2.46,0.98,2.42,4.16,5.11,,
August,,,,,4.88,3.60,2.86,3.90,4.06,3.25,,
September,,,,,2.49,1.99,2.09,0.84,3.37,3.10,,
October,,,,,1.67,3.57,6.57,4.07,2.09,4.43,,
November,,,,,2.08,4.35,2.46,3.16,2.88,1.48,,
December,,,,,3.13,0.47,3.95,2.94,2.08,7.26,,
Total,,,,,29.41,27.83,36.19,34.61,35.57,37.82,,
Calc annual,0.00,0.00,0.00,0.00,29.41,27.83,36.19,34.61,35.57,37.82,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,,
