WEST DERBY BASIL GRANGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ393923,Long,-2.914904,Lat,53.423985,Elevation,160,ft,,,,,,,,,,,,
Station no,RR6972,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,2.52,1.92,5.55,1.23,2.11,2.09,,0.68,4.62,3.9,1.41,3.88,,,,
February,,,,,4.19,1.55,2.73,1.87,2.97,1.02,,2.66,1.28,0.79,1.78,2.57,,,,
March,,,,,1.41,3.45,2.79,2.33,3.03,3.06,,1.34,4.73,3.07,3.39,1.48,,,,
April,,,,,1.3,2.48,1.56,1.5,2.98,2.69,,2.83,0.24,3.87,0.75,1.59,,,,
May,,,,,1.6,0.51,3.1,3.34,3.24,1.72,,0.91,2.37,2.58,2.03,1.43,,,,
June,,,,,2.56,1.48,1.55,7.01,2.6,2.61,,3.03,4.55,2.23,1.7,1.12,,,,
July,,,,,1.58,2.46,0.98,2.42,4.16,5.11,,0.82,4.01,2.35,4.66,3.72,,,,
August,,,,,4.88,3.6,2.86,3.9,4.06,3.25,,3.78,6.18,2.25,2.46,6,,,,
September,,,,,2.49,1.99,2.09,0.84,3.37,3.1,,4.74,1.61,1.96,3.63,1.25,,,,
October,,,,,1.67,3.57,6.57,4.07,2.09,4.43,,3.9,3.6,2.3,2.39,2.39,,,,
November,,,,,2.08,4.35,2.46,3.16,2.88,1.48,,2.86,2.52,3.57,3.49,2.45,,,,
December,,,,,3.13,0.47,3.95,2.94,2.08,7.26,,4.4,2.68,2.63,5.66,6.22,,,,
Total,,,,,29.41,27.83,36.19,34.61,35.57,37.82,,31.95,38.39,31.5,33.35,34.1,,,,
