DUNDEE (MYLNEFIELD),,,,,,,,,,,,
Grid ref,NO341299,Long,-3.070870,Lat,56.456627,,,,,,,
Station no,5591/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.52,1.18,2.74,2.82,1.40,0.84,4.10,,
February,,,,2.94,0.97,1.11,3.33,2.87,0.28,2.41,,
March,,,,2.11,1.09,1.51,1.79,4.29,1.14,2.11,,
April,,,,1.22,0.79,0.81,0.74,1.41,1.90,2.15,,
May,,,,5.08,1.78,0.66,2.04,2.71,0.44,1.85,,
June,,,,2.01,1.13,2.30,0.95,3.03,2.43,2.23,,
July,,,,3.05,1.04,4.06,4.08,4.09,2.90,2.76,,
August,,,,2.48,0.32,3.83,4.49,2.92,0.44,4.33,,
September,,,,2.21,1.08,4.29,1.24,1.96,0.52,1.60,,
October,,,,5.18,1.61,1.09,1.66,1.44,1.80,6.16,,
November,,,,3.96,1.47,0.81,1.42,0.83,4.83,2.99,,
December,,,,3.16,5.07,2.98,4.26,4.13,5.18,1.81,,
Total,,,,34.92,17.53,26.19,28.82,31.08,22.70,34.50,,
Calc annual,0.00,0.00,0.00,34.92,17.53,26.19,28.82,31.08,22.70,34.50,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
