CANTERBURY-OLD-TREE-HOATH,,,,,,,,,,,,,,,,,,,,
Grid ref,TR207647,Long,1.1672218,Lat,51.338527,Elevation,112,ft,,,,,,,,,,,,
Station no,RR6890,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,2.77,3.24,1.92,1.04,2.7,0.79,4.33,1.48,2.26,0.08,0.93,0.87,1.27,1.72,1.36,4.39,,,
February,,1.25,0.52,1.61,0.68,0.54,2.54,1.45,0.81,2.68,1.7,1.36,1.25,1.9,1.24,2.18,0.42,,,
March,,0.96,2.06,1.18,0.8,0.35,1.97,2.11,1.56,0.66,0.2,1.28,1.09,0.88,0.91,1.29,0.71,,,
April,,2.13,1.41,1.36,1.58,1.24,1.18,2.24,1.89,2.54,1.57,0.74,2.06,1.37,1.34,0.67,1.26,,,
May,,1.01,2.73,1.06,0.7,1.19,1.41,2.09,3.96,2.42,0.27,1.19,0.89,2.57,0.16,1.7,2.91,,,
June,,2.59,1.91,1.99,1.34,1.35,1.3,2.13,0.67,2.66,3.13,2.47,2.11,1.32,0.74,0.61,0.24,,,
July,,2.78,2.71,1.07,0.77,4.92,0.61,2.04,0.5,2.43,2.21,0.98,1.76,2.72,1.99,1.25,2.3,,,
August,,1.1,2.45,1.52,0.93,1.46,1.42,1.88,3.41,3.55,0.92,2.67,1.36,0.31,0.64,0.32,1.49,,,
September,,3.4,1.08,1.74,2.45,2.02,2.83,1.41,0.87,2.35,3.02,2.69,3.51,2.91,3.27,3.27,0.92,,,
October,,1.36,3.36,3.45,2.13,2.81,1.06,1.52,2.8,0.83,8.25,4.94,4.64,1.42,2.46,3.83,1.55,,,
November,,0.38,4.66,1.83,2.12,5.1,2.81,4.28,4.94,1.17,3.29,2.37,2.95,3.33,1.05,2.36,2.43,,,
December,,2.26,4.4,0.29,1.82,1.48,3.92,2.36,2.23,0.91,3.11,2.52,2.02,1.65,2.47,1.64,4.09,,,
Total,,21.99,30.53,19.02,16.36,25.16,21.84,27.84,25.12,24.46,27.75,24.14,24.51,21.65,17.99,20.48,22.71,,,
