GRAYTHWAITE SILVERHOLME,,,,,,,,,,,,,,,,,,,,
Grid ref,SD374909,Long,-2.9636506,Lat,54.309841,Elevation,185,ft,,,,,,,,,,,,
Station no,RR6785,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,7.74,4.91,6.78,2.7,5.31,5.85,5.35,6.07,7.52,3.43,8.27,7.97
February,,,,,,,,,3.73,4.98,8.22,-999,3.96,3.27,7.08,8.57,6.09,1.65,7,2.16
March,,,,,,,,6.57,4.97,,2.56,-999,8.65,5.8,6.78,2.8,2.16,3.04,2.64,6.62
April,,,,,,,,3.9,2.89,4.48,3.79,3.68,1.59,6.87,1.66,3.21,4.13,2.01,1.65,3.75
May,,,,,,,,6.84,5.41,3.07,3.43,2.95,2.9,3.08,2.99,1.27,4.72,3.85,2.68,2.05
June,,,,,,,,10,3.04,3.06,3.02,4.09,6.07,4.34,1.22,1.49,4.06,3.47,,2.29
July,,,,,,,,4.78,4.58,7.87,4.35,0.75,6.49,0.9,5.21,5.97,3.62,1.81,6.03,1.43
August,,,,,,,,7.04,6.65,3.5,8.96,4.47,7.08,2.34,5.82,3.8,3.27,10.87,5.4,4.81
September,,,,,,,,1.1,7.27,4.02,0.67,5.17,1.48,2.78,4.03,1.72,3.39,5.55,14.81,4.26
October,,,,,,,,7.57,3.36,9.18,2.93,6.04,7.87,4.18,2.3,2.11,10.71,10.71,8.31,
November,,,,,,,,5.97,5.32,3.48,5.54,8.17,6.32,6.97,7.9,2.8,7.76,6.86,3.98,
December,,,,,,,,9.12,6.18,10.88,8.03,10.75,7.89,4.61,7.96,10.11,5.7,4.33,10.36,
Total,,,,,,,,,61.14,,58.28,58.64,65.61,50.99,58.3,49.92,63.13,57.58,,
,,,,,,,,,,,,,,,,,,,,
1911 Dec; Feb/Mar bracketed,,,,,,,,,,,,,,,,,,,,
