WEST HARTLEPOOL BRADGATE,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ493325,Long,-1.2364233,Lat,54.685607,Elevation,100,ft,,,,,,,,,,,,
Station no,RR6331,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.01,0.86,2.16,2.29,0.42,3.08,0.53,1.11,1.02,2.34,1.52,2.43,2.15,,,,,,
February,,1.64,1.47,0.81,2.04,0.66,1.07,1.32,1.65,1.71,2.37,1.71,1.21,0.91,,,,,,
March,,1.35,0.63,1.77,1.21,1.61,1.07,0.66,3.24,4.46,0.46,2.75,1.85,1.58,,,,,,
April,,0.57,1.42,1.58,1.36,2.51,1.07,1.73,2.7,3.76,2.27,1.34,0.41,,,,,,,
May,,2.15,2.1,2.54,2.65,0.62,3.2,4.44,2.32,1.87,3,0.57,2.21,,,,,,,
June,,0.84,2.65,2.56,1.21,0.9,0.81,3.12,0.8,2.66,2.31,4.33,6.4,,,,,,,
July,,3.18,2.14,3.73,1.62,0.77,1.2,1.3,3.7,3.23,3.08,1.16,3.32,,,,,,,
August,,2.33,1.85,1.9,2.29,3.27,2.85,2.8,1.07,6.58,4.2,2.81,4.68,,,,,,,
September,,1.12,0.8,3.11,1.66,2.11,0.37,0.57,2.83,2.76,0.71,1.9,1.47,,,,,,,
October,,2.07,2.68,7.74,0.71,2.93,4.85,4.96,1.55,3.63,3.55,2.11,3.05,,,,,,,
November,,3.83,1.23,2.38,2.08,5.07,2.48,2.68,1.85,1.21,2.85,4.03,2.91,,,,,,,
December,,2.02,2.05,1.44,2.4,0.55,2.14,3.21,0.81,3.54,2.1,2.41,1.02,,,,,,,
Total,,22.11,19.88,31.72,21.52,21.42,24.19,27.32,23.63,36.43,29.24,26.64,30.96,,,,,,,
