WEST HARTLEPOOL BRADGATE,,,,,,,,,,,,
Grid ref,NZ491325,Long,-1.239921,Lat,54.685165,,,,,,,
Station no,RR6331,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.01,0.86,2.16,2.29,0.42,3.08,0.53,1.11,1.02,,
February,,1.64,1.47,0.81,2.04,0.66,1.07,1.32,1.65,1.71,,
March,,1.35,0.63,1.77,1.21,1.61,1.07,0.66,3.24,4.46,,
April,,0.57,1.42,1.58,1.36,2.51,1.07,1.73,2.70,3.76,,
May,,2.15,2.10,2.54,2.65,0.62,3.20,4.44,2.32,1.87,,
June,,0.84,2.65,2.56,1.21,0.90,0.81,3.12,0.80,2.66,,
July,,3.18,2.14,3.73,1.62,0.77,1.20,1.30,3.70,3.23,,
August,,2.33,1.85,1.90,2.29,3.27,2.85,2.80,1.07,6.58,,
September,,1.12,0.80,3.11,1.66,2.11,0.37,0.57,2.83,2.76,,
October,,2.07,2.68,7.74,0.71,2.93,4.85,4.96,1.55,3.63,,
November,,3.83,1.23,2.38,2.08,5.07,2.48,2.68,1.85,1.21,,
December,,2.02,2.05,1.44,2.40,0.55,2.14,3.21,0.81,3.54,,
Total,,22.11,19.88,31.72,21.52,21.42,24.19,27.32,23.63,36.43,,
Calc annual,0.00,22.11,19.88,31.72,21.52,21.42,24.19,27.32,23.63,36.43,,
Difference,NaN,-0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,,
