ABERFELDY (GRANDTULLY CASTLE GDNS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN891513,Long,-3.809846,Lat,56.640342,Elevation,383,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5554/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.53,4.3,9.61,7.96,3.42,1.66,1.76,2.51,5.74,3.73,3.28,4.78,6.9,7.04,3.47,2.98,3.11,3.3,,,,,,,,
February,,,,,4.17,2.41,2.89,1.38,3.72,2.11,3.64,1.27,3.1,1.07,4.14,2.7,1.56,3.96,2.82,4.48,4.23,0.49,,,,,,,,
March,,,,,1.88,2.44,2.04,1.02,2.84,2.45,1.19,2.48,2.35,0.69,2.52,2.08,3.73,3.66,1.87,1.79,1.71,2.66,,,,,,,,
April,,,,,3.47,0.66,1.65,0.25,1.94,3.39,1.76,2.82,2.65,2.89,1.29,0.83,5.85,2.03,1.99,2.48,2.03,1.49,,,,,,,,
May,,,,,0.65,1.1,2.92,2.78,1.23,1.14,3.37,3.77,2.5,2.53,5.08,1.62,3.91,2.74,2.8,1.91,1.78,2.8,,,,,,,,
June,,,,,6.53,1.5,1.2,3.76,1.14,0.25,0.9,1.63,2.67,3.69,3.11,2.74,2.75,4.78,1.68,1.11,1.85,2.17,,,,,,,,
July,,,,,0.67,4.44,3.84,4.7,4.2,4.2,2.87,1.97,1.93,2.77,3.35,4.18,5.21,1.98,1.11,5.52,2.05,1.29,,,,,,,,
August,,,,,2.14,1.85,3.47,2.83,1.96,1.06,4,3.57,4.87,3.69,1.48,3.74,0.1,6.71,2.3,4.67,5.03,3.15,,,,,,,,
September,,,,,4.72,2.96,1.89,3.2,2.74,1.51,1.58,4.66,3.04,4.09,4.54,4.55,3.42,3.37,0.9,5.25,2.34,1.78,,,,,,,,
October,,,,5.1,6.09,3.29,3.39,6.61,8.3,5.81,3.87,3.09,7.76,4.43,5.06,0.42,2.44,3.72,3.98,2.5,1.16,4.78,,,,,,,,
November,,,,0.36,4.93,3.23,0.55,6.2,5.44,5.98,5.95,0.65,2.15,5.4,1.17,5.85,4.27,2.01,3.33,3.21,11.91,2.18,,,,,,,,
December,,,,8.87,2.9,5.74,1.08,4.45,1.83,3.54,3.46,5.3,2.71,4.25,6.61,5.03,1.56,6.7,5.42,1.5,4.61,2.33,,,,,,,,
Total,,,,,39.68,33.92,34.53,45.14,38.76,33.1,34.35,33.72,41.47,39.23,41.63,38.52,41.7,48.7,31.67,37.4,41.81,28.42,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Feb estd for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Jan Estd for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Dec part estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Part approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5554/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,864090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
