"SELBORNE, ALTON",,,,,,,,,,,,,,
Grid ref,SU740336,Long,-0.9438,Lat,51.0972,Elevation,400,ft,,,,,,
Station no,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793
January,,,4.64,4.43,3.18,2.84,6.91,0.88,1.6,4.48,1.99,6.73,6.07,3.71
February,,,1.98,5.54,0.77,1.8,1.42,3.67,3.37,4.11,0.49,4.64,1.68,2.32
March,,,6.54,2.16,3.82,0.3,1.62,4.28,1.31,2.47,0.45,1.59,6.7,3.33
April,,,4.57,0.88,3.92,0.17,1.81,0.74,0.61,1.81,3.64,1.13,4.08,3.19
May,,,6.34,2.84,1.52,0.6,2.4,2.06,0.76,4.05,4.38,1.33,3,1.21
June,,,1.75,2.82,3.65,1.39,1.2,1.5,1.27,4.24,0.13,0.91,2.78,
July,,,7.09,1.45,2.4,3.8,1.99,6.53,3.58,3.69,3.24,5.56,5.16,
August,,,8.28,2.24,3.88,3.21,4.34,0.83,3.22,0.99,2.3,1.73,4.25,
September,,,3.72,5.53,2.51,5.94,4.79,1.56,5.71,2.82,0.66,1.73,5.53,
October,,,1.93,1.71,0.39,5.21,5.04,5.04,0,5.04,2.1,6.49,5.55,
November,,,2.51,3.01,4.7,2.27,4.38,4.09,0.86,3.67,6.95,8.16,1.65,
December,,,0.91,1.1,3.06,4.02,3.67,5.06,0.23,4.62,5.94,4.93,2.11,
Total,27.32,30.71,50.26,33.71,33.8,31.55,39.57,36.24,22.52,41.99,32.27,44.93,48.56,
