HIGHCLERE (CASTLE GARDENS),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,765,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,2.04,2.89,2.96,2.75,0.56,5.45,6.38,3.45,5.63,,,
February,1.96,0.14,5.16,0.15,4.22,2.87,6.22,0.63,1.28,,,
March,0.31,2.04,3.85,3.19,0.68,2.68,4.46,0.27,1.21,,,
April,3.42,2.56,1.48,2.53,4.42,2.47,2.51,0.06,2.66,,,
May,2.98,5.01,1.96,0.80,1.42,0.65,2.93,1.56,1.50,,,
June,2.28,1.71,3.46,1.32,6.44,2.69,1.10,2.55,2.20,,,
July,4.94,2.00,2.33,1.21,2.07,4.86,1.27,2.66,4.65,,,
August,3.39,1.70,0.41,2.84,3.55,0.63,0.96,2.66,,,,
September,2.65,4.51,2.80,2.61,5.49,3.29,2.14,1.65,,,,
October,0.68,4.97,2.58,1.46,4.13,2.05,4.45,3.65,,,,
November,3.84,1.84,0.87,2.24,6.10,3.26,1.61,4.53,,,,
December,0.94,1.31,0.41,9.28,4.57,3.82,3.20,3.53,,,,
Total,29.43,30.68,28.27,30.38,43.65,34.72,37.23,27.20,,,,
Calc annual,29.43,30.68,28.27,30.38,43.65,34.72,37.23,27.20,19.13,0.00,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,NaN,NaN,,
