HIGHCLERE-CASTLE-GARDENS-(NEW-GAUGE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SU444588,Long,-1.36411,Lat,51.32662,Elevation,500,ft,,,,,,,,,,,,,
Station no,765,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,5.7,3.54,5.85,1.73,4.49,2.04,2.89,2.96,2.75,0.56,5.45,6.38,3.45,5.63,
February,,,,,,,2.69,5.5,2.3,0.75,0.71,1.96,0.14,5.16,0.15,4.22,2.87,6.22,0.63,1.28,
March,,,,,,,0.69,4.6,3.35,0.14,1.22,0.31,2.04,3.85,3.19,0.68,2.68,4.46,0.27,1.21,
April,,,,,,,3.04,2.43,2.16,0.98,2.57,3.42,2.56,1.48,2.53,4.42,2.47,2.51,0.06,2.66,
May,,,,,,5.02,2.34,0.8,1.44,1.86,1.85,2.98,5.01,1.96,0.8,1.42,0.65,2.93,1.56,1.5,
June,,,,,,0.03,2.54,3.33,2.63,1.46,1.66,2.28,1.71,3.46,1.32,6.44,2.69,1.1,2.55,2.2,
July,,,,,,3.44,2.41,4.01,1.78,1.88,2.46,4.94,2,2.33,1.21,2.07,4.86,1.27,2.66,4.65,
August,,,,,,2.38,1.17,4.35,2.14,0.84,3.13,3.39,1.7,0.41,2.84,3.55,0.63,0.96,2.66,,
September,,,,,,3.25,1.49,6.81,1.01,0.48,3.54,2.65,4.51,2.8,2.61,5.49,3.29,2.14,1.65,,
October,,,,,,4.73,3.18,3.39,6.74,3.51,1.67,0.68,4.97,2.58,1.46,4.13,2.05,4.45,3.65,,
November,,,,,,2.55,7.81,4.89,3.48,9.3,5.33,3.84,1.84,0.87,2.24,6.1,3.26,1.61,4.53,,
December,,,,,,3.88,0.44,4.57,3.06,7.93,3.91,0.94,1.31,0.41,9.28,4.57,3.82,3.2,3.53,,
Total,,,,,,,33.5,48.22,35.94,30.86,32.54,29.43,30.68,28.27,30.38,43.65,34.72,37.23,27.2,,
,,,,,,,,,,,,,,,,,,,,,
New gauge assumed to be in same area as old one No distances or elevation to match to,,,,,,,,,,,,,,,,,,,,,
1925 Jan-Apr Calculated by applying factor to old gauge,,,,,,,,,,,,,,,,,,,,,
1939 June Station terminated,,,,,,,,,,,,,,,,,,,,,
