GOSFORTH STEELFIELD HALL,,,,,,,,,,
Grid ref,NY065038,Long,-3.442495,Lat,54.42101,Elevation,275,ft,,
Station no,RR8713,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,4.03,1.91,2.5,2.68,4.02,,,,,
February,3.82,1.95,1.47,2.86,2.77,,,,,
March,0.37,2.01,2.83,4.77,3.18,,,,,
April,2.93,2.62,1.52,1.43,2.48,,,,,
May,2.67,1.52,2.98,3.25,3,,,,,
June,3.68,2.67,1.7,2.67,1.15,,,,,
July,1.85,1.42,4.4,5.09,2.4,,,,,
August,8.02,6.8,3.06,5.35,,,,,,
September,3.44,2.5,1.59,6.74,,,,,,
October,5.41,5.86,3.79,9.37,,,,,,
November,3.88,3.44,2.83,5.15,,,,,,
December,5.48,4.2,3.5,3.82,,,,,,
Total,45.58,36.9,32.17,53.18,,,,,,
