NORTH SHIELDS WALLSEND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ300669,Long,-1.5313,Lat,54.9963,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,0.76,3.85,1.59,2.25,3.17,0.88,1.81,1.25,4.99,2.1,1.87,1.5,1.18,2.82,0.69,1.39,2.51,0.57,3,3.12,1.72,0.5,2.05,,0.98,1.5,1.23,3.16,1.73,1.61,1.08,2.1,0.99,1.5,,,,,,,
February,,,,,,,,,,1.37,2.07,2.6,1.66,0.39,2.33,1.34,2.04,0.85,2.23,1.41,1.81,1.88,2.01,2.05,1.01,1.45,2.03,1.38,1.05,2.8,1.34,3.2,,2.47,2.2,1.34,1.35,0.43,0.91,1.03,1.53,0.07,2.75,,,,,,,
March,,,,,,,,,,1.61,1.98,2,3.69,1.5,3.68,1.68,2.61,2,1.25,1.5,1.23,0.67,2.64,1.82,0.71,0.44,2.67,3.06,1.07,0.88,1.45,3.68,,2.3,2.46,1.54,2.82,1.69,4.9,2.67,1.83,3.49,1.24,,,,,,,
April,,,,,,,,,,1.73,1.08,1.43,1.36,1,2.13,1.9,2.08,1.38,3.68,1.86,0.87,3.73,2.41,1,1.13,0.85,1.98,4.24,1.84,2.32,1.76,1.08,,1.1,2.15,1.42,1.56,0.89,1.49,2.86,0.5,1.21,1.23,,,,,,,
May,,,,,,,,,,0.31,3.23,0.96,2.44,1.6,2.94,3.66,1.11,2.45,0.98,2.78,1.47,1.36,1.51,2.73,2.21,0.88,2.41,2.19,2.51,1.9,1.22,1.56,,2.13,3.11,2.37,2.26,1.35,0.49,1.21,2.5,1.51,2.4,,,,,,,
June,,,,,,,,,,2.35,2.72,3.27,3.19,4.09,1.6,0.57,1.49,1.27,0.29,1.43,2,2.63,2.47,1.44,0.69,0.84,1.6,1.55,1.91,3.38,0.93,1.66,2.62,2.2,1.1,1.5,1.18,0.34,1.81,0.24,2.48,0.51,3.29,,,,,,,
July,,,,,,,,,,3.32,3.3,2.67,1.47,1.2,0.66,2.6,4.18,3.46,0.35,0.65,0.79,3.34,2.62,2.52,2.81,6.86,2.31,3.52,0.25,4,6.26,2.93,2.93,3.68,3.44,1.09,3.84,0.93,4.92,2.65,1.63,4.44,1.26,,,,,,,
August,,,,,,,,,,1.58,3.23,1.64,5.14,2.53,1.18,2.74,3.14,2.15,1.75,1.33,2.1,0.89,3,2.23,1.49,3.54,1.66,7,6.55,2.95,1.37,4.22,4.45,2.66,0.91,2.87,1.59,2.63,1.71,4.08,5.53,4.5,4.01,,,,,,,
September,,,,,,,,,,3.09,1.85,2.47,0.85,2.28,1.26,0.52,3.67,2.22,3.76,2.7,0.49,4.28,4.95,1.82,1.87,2.23,2.94,1.29,1.6,0.93,3.69,4.96,1.74,3.42,1.54,2.52,1.72,4.52,1.39,1.21,1.81,2.3,1.91,,,,,,,
October,,,,,,,,,,2.2,2.72,1,1.65,3.68,6.1,6.21,1.49,1.22,2.09,2.66,3.63,2.37,5.46,2.56,1.46,4.46,1.74,2.46,1.2,0.59,4.71,1.87,2.91,1.59,1.03,4.11,3.86,2.38,0.92,4.54,2.31,1.29,3.01,,,,,,,
November,,,,,,,,,,1.8,3.35,4.07,0.68,2.98,2.08,2.57,2.21,0.76,2.11,2.87,2.78,1.78,4.43,1.15,3.57,5.33,3.69,1.47,6.5,2.54,2.28,1,2.92,1.2,1.42,2.15,3.6,2.26,3.59,1.04,3.54,2.98,1.2,,,,,,,
December,,,,,,,,,,3.4,4.74,0.92,1.08,1.83,2.98,1.64,1.44,2.59,3.9,3.29,5.23,1.76,4.91,0.38,4.98,1.61,6.6,1.84,4.46,1.16,3.52,1.9,4.07,2.42,1.67,1.03,3.27,3.24,0.74,1.66,1.77,3.35,0.8,,,,,,,
Total,,,,,,,,,,23.52,34.12,24.62,25.46,26.25,27.82,27.24,26.71,25.34,24.49,24.35,23.9,25.87,39.23,20.39,23.32,31,30.2,33,32.06,25.17,29.03,30.11,,26.15,22.53,23.17,30.21,22.39,24.48,24.27,27.53,26.64,24.6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR for The Hall, Wallsend - residence of the recorder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
