SAFFRON WALDEN MARKET ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL538385,Long,0.240171,Lat,52.023601,Elevation,201,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,3.2,2.75,1.16,2.17,1.81,3.51,1.79,2.24,0.15,1.13,1.46,1.3,1.82,1.64,2.91,1.94,0.75,0.67,,,0.96,1.8,1.65,2.42,0.89,1.92,0.74,2.08,2.94,0.52,0.57,2.05,2.02,1.29,3.11,1.05,1,0.92,1.59,1.45,3.67,,1.44,3.01,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.06,1.92,0.98,0.78,2.18,2.15,1.28,3.35,2.2,2.88,1.52,3.67,0.66,2.55,0.23,0.68,1.12,1.76,,,2.26,2.98,1.76,0.26,0.57,2.5,0.73,1.39,3.55,1.05,0.98,0.61,3.04,1.11,2.24,1.21,1.13,0.47,2.52,0.95,1.32,,1.68,3.25,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,2.81,1.48,0.78,0.44,3.01,2.21,1.41,0.86,1.03,1.42,1.59,0.96,0.94,0.98,1.82,1.56,3.18,1.75,,,1.44,0.21,0.96,1.96,2.95,3.9,1.85,1.02,0.85,2.13,1.16,2.27,1.35,2.26,1.74,0.83,2.2,3.48,0.91,2.33,2.92,,4.21,1.56,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,2.31,0.94,1.13,1.08,3.44,2.27,1.93,2.87,2.11,1.22,3.67,2.31,1.07,1.63,1.24,0.95,1.5,2.93,,,1.37,0.13,1.29,1.27,0.94,1.71,1.81,2.97,0.79,2.06,0.71,1.86,0.75,1.77,0.76,3.25,3.2,1.69,2.07,0.92,0.17,,0.9,0.9,,,,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.18,1.71,1.23,1.72,0.6,2.2,3.66,2.9,0.55,0.97,1.26,1.12,0.29,3.18,2.99,1.93,0.95,3.29,,,1.15,0.89,2.43,1.22,0.3,1.63,3.13,1.83,1.46,3.09,3.25,3.36,1.62,0.96,1.09,3.24,0.91,1.2,2.93,1.1,1.14,,1.22,1.87,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,4.04,2.8,1.49,2.88,1.4,1.41,1.7,4.44,3.52,2.15,2.98,2.97,1.68,1.74,0.81,0.52,1.4,1.56,,,3.05,0.91,1.77,0.8,2.95,1.93,2.84,1.51,2.86,1.5,2.36,5.27,1.29,3.22,3.31,2.17,1.54,4.46,1.28,2.56,1.95,,2.96,2.22,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,5.08,2.28,1.27,4.98,1.22,3.14,0.45,3.94,3.94,1.61,2.28,2.87,1.46,0.67,2.33,0.85,3.69,3.19,,,3.58,3.63,2.89,3.84,0.88,1.22,1.06,3.08,0.99,2.4,1.24,4.38,2.9,1.44,1.12,1.94,2.87,3.3,1.77,0.53,1.39,,1.78,3.3,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,1.49,1.92,1.27,1.04,1.53,3.76,4.03,3.43,1.22,5.25,1.44,1.46,1.3,1.48,2.25,2.19,2.88,2.56,,,2.66,2.22,2.38,3.28,3.29,2.42,1.38,1.69,3.01,1.66,3.08,3.48,2.51,2.32,1.02,2.25,2.43,2.97,2.42,0.37,5.32,,1.45,3.92,,8.2,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,1.29,2.78,2.2,3.15,4.18,1.26,1.14,3.03,3.35,2.17,2.03,3.62,1.53,3.68,1.21,2.36,1.65,1.96,,,2.97,1.17,1.18,0.85,5.85,2.76,0.21,2.36,0.6,1.51,0.84,3.38,1.41,1.18,1.23,0.58,1.53,2.36,1.08,1.17,2.79,,1.14,1.59,,,,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,3.98,2.61,2.66,3.04,1.06,0.93,2.35,1.06,5.14,2.35,5.27,2.28,2.1,4.9,2.85,1.79,0.96,4.24,,,4.63,2.52,3.04,2.09,3.62,0.69,2.66,2.17,1.99,2.08,1.31,5.2,1.05,1.37,3.55,2.36,1.21,4.45,1.69,3.23,2.23,,1.96,1.58,,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
