"WRAY, WRAY HOUSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD602676,Long,-2.6101536,Lat,54.102739,Elevation,170,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,3.24,3.87,5.47,4.71,10.63,1.76,7,5.16,6.09,4.34,5.51,2.12,4.82,4.56,6.75,4.36,2.11,0.84,4.61,6.73,6.55,,,,,,
February,,,,,0.57,6.59,4.63,2.79,6.14,0.71,0.32,4.68,0.08,4.78,0.26,7.19,2.18,6.94,2.09,3.65,1.81,4.91,1.54,2.89,2.21,,,,,,
March,,,,1.04,1.23,1.37,1.78,3.85,3.27,1.12,3.08,0.69,2.83,2.33,2.52,1.39,2.13,1.49,1.43,2.15,4.24,3.23,2.45,1.64,0.68,,,,,,
April,,,,3.31,1.75,3.08,1.5,3.15,1.34,1.59,1.63,3.15,3.3,1.89,2.78,3.84,0.69,3.36,0.96,2.51,2.5,1.29,2.09,3.09,2.51,,,,,,
May,,,,3.96,5.27,3.72,2.92,1.98,0.54,2.27,1.07,1.54,4.48,1.83,4.61,1.18,1.99,2.23,3.78,0.7,1.19,3.05,3.66,3.77,3.13,,,,,,
June,,,,0.72,2.96,0.34,3.52,3.65,7.08,1.56,3.21,5.05,1.15,1.53,2.36,4.21,2.93,3.31,4.42,3.21,0.63,0.58,1.05,3.62,4.03,,,,,,
July,,,,4.72,3.49,3.08,3.47,3.78,5.42,4.44,3.84,4.29,4.73,4.43,2.73,2.96,4.61,2.38,4.24,6.21,5.81,2.57,5.52,4.46,3.66,,,,,,
August,,,,5.22,3.99,4.27,2.93,7.43,5.95,5.42,5.79,2.58,1.51,2.47,5.83,1.86,3.02,1.82,3.79,2.25,3.08,5.52,4.69,7.54,3.4,,,,,,
September,,,,5.12,4.92,3.1,4.63,7.76,2.04,2.61,2.32,2.2,5.4,1.21,3.62,8.95,3.51,3.51,1.92,2.18,7.12,1.88,5.85,4.03,5.9,,,,,,
October,,,,8.64,4.54,5.45,3.57,4.42,5.94,7.26,8.3,2.71,5.96,4.54,7,8.49,5.29,1.48,10.32,1.49,5.82,8.66,6.41,4.79,6.8,,,,,,
November,,,,7.82,3.8,2.13,6.9,4.77,7.02,8.09,5,6.22,3.37,1.89,0.88,4.5,5.39,1.17,5.92,5.84,5.24,2.55,1.1,2.25,7.13,,,,,,
December,,,,4.07,6.82,3.41,1.25,1.18,3.78,8.61,4.56,3.61,2.95,0.56,6.06,3.21,6.79,1.85,5.55,2.95,5.09,2.73,4.36,3.04,4.9,,,,,,
Total,,,,,42.58,40.41,42.57,49.47,59.15,45.44,46.12,41.88,41.85,31.8,44.16,49.9,43.35,34.1,51.17,37.5,44.64,37.81,43.33,47.85,50.9,,,,,,
