LOCH ARD (COULIGARTON),,,,,,,,,,,,
Grid ref,NN454006,Long,-4.491782,Lat,56.172892,,,,,,,
Station no,5507/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.32,6.67,3.59,8.54,5.62,,,,,,,
February,4.42,1.96,3.37,7.91,5.10,,,,,,,
March,7.94,8.23,1.99,5.74,2.12,,,,,,,
April,7.10,3.50,3.42,3.29,4.70,,,,,,,
May,2.50,2.18,5.00,6.28,5.23,,,,,,,
June,3.87,4.92,3.71,4.49,3.74,,,,,,,
July,3.98,2.89,7.26,3.76,100.00,,,,,,,
August,7.97,4.99,5.19,6.69,100.00,,,,,,,
September,6.01,3.74,8.18,10.32,100.00,,,,,,,
October,1.85,8.06,5.12,12.98,100.00,,,,,,,
November,10.52,3.34,12.12,13.28,100.00,,,,,,,
December,11.47,6.59,8.48,12.06,100.00,,,,,,,
Total,75.95,57.07,67.43,95.34,-999.00,,,,,,,
Calc annual,75.95,57.07,67.43,95.34,626.51,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,-1625.51,NaN,NaN,NaN,NaN,NaN,,
