NOTTINGHAM STRELLEY HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK507421,Long,-1.246448,Lat,52.973863,Elevation,376,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.22,3.83,1.71,1.38,1.95,2.27,1.22,3.46,3.47,2.74,5.15,2.55,3.63,2.59,4.47,2.9,1.86,2.26,2.47,5.18,1.03,1.04,2.08,1.86,0.74,1.59,2.33,3.68,1.56,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.77,0.67,2.88,0.52,2.53,0.65,2.37,1.85,3.89,0.7,1.21,2.92,2.03,1.12,0.51,2.39,2.43,2.79,1.89,1.43,0.64,4.49,2.71,0.58,1.62,2.41,1.8,0.87,2.52,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.15,2.63,0.34,1.53,2.83,1.96,0.64,1.55,2.07,0.15,1.7,2.09,2.83,2.07,0.77,0.53,0.66,0.99,5.5,0.69,1.37,0.79,3.52,2.64,1.04,1.81,2.54,0.75,2.49,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.37,3.6,3.57,2.86,1.51,2.51,3.09,1.68,3.19,0.11,1.95,1.65,1.47,0.93,0.61,2.38,2.1,1.27,2,1.61,2.07,2.38,1.69,1.59,2.08,0.22,1.18,1.65,0.17,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.99,1.98,2.95,6.64,1.61,1.01,0.3,0.57,2.59,1.97,1.15,1.52,2.36,3.47,2.75,1.13,2.43,1.39,1.68,1.93,2.21,1.55,2.97,3.02,2.27,2.51,2.98,0.58,0.77,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.18,1.79,4.21,0.85,1.3,0.67,2.92,2.97,0.49,1.17,1.49,1.13,0.5,0.66,1.69,1.62,2.6,2.93,1.65,2.45,0.7,1.56,1.49,3.1,3.73,3.71,3.74,3.06,1.64,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.35,4.88,5.55,4.39,1.62,2.08,0.81,4.87,3,3.65,4.57,2.72,3.24,2.58,0.81,2.64,2.35,1.6,2.29,1.5,4.08,2.22,0.69,1.66,2.31,1.76,1,3.46,2.69,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.37,3.09,3.82,1.61,0.54,1.94,2.07,0.8,0.24,2.83,3.02,0.36,3.98,3.22,1.76,3.54,2.5,5.75,0.2,3.98,1.9,3.1,5.13,2.63,1.73,4.57,0.42,6.26,4.14,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,0.44,4.27,3.27,1.67,1.17,2.21,4.83,2.84,1.12,2.07,1.73,0.7,0.5,1.1,2.53,4.09,2.06,3.26,1.33,2.27,1.76,3.14,1.51,1.44,1.53,3.06,0.54,2.34,5.81,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.36,2.54,0.54,2.49,3.13,1.52,4.07,1.69,2.8,2.6,2.55,4.32,2.55,1.86,1.7,2.25,3.93,0.98,0.26,2.06,4.24,0.87,0.76,3.02,2.08,3.26,1.54,1.21,1.45,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,5.27,3.16,2.99,1.67,1.32,2.33,4.61,2.41,1.67,2.48,3.69,6.4,3.36,1.51,2.13,4.7,0.26,4.42,1.87,1.27,2.69,4.19,4.91,1.59,1.64,4.88,1.76,0.65,2.24,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,4.08,2.02,1.21,0.87,0.46,4.73,3.45,1.41,2.99,4.05,1.85,1.66,0.73,1.9,0.9,1.3,1.84,2.45,2.11,2.95,2.29,1.54,1.68,2.48,0.83,2.46,1.91,2.22,2.17,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,23.55,34.46,33.04,26.48,19.97,23.88,30.38,26.1,27.52,24.52,30.06,28.02,27.18,23.01,20.63,29.47,25.02,30.09,23.25,27.32,24.98,26.87,29.14,25.61,21.6,32.24,21.74,26.73,27.65,31.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
