NOTTINGHAM STRELLEY HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK507421,Long,-1.246448,Lat,52.973863,Elevation,376,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,2.95,1.07,1.03,0.91,2.13,0.91,4.77,3.7,1.28,2.29,1.14,2.32,1.91,3.48,2.72,2.11,3.32,1.07,2.24,2.04,2.7,1.66,4.92,1.22,
February,,,,,,,2.79,1.64,1.74,0.69,2.01,1.62,1.7,0.89,1.16,2.86,4.42,0.82,1.96,2.55,2.24,0.42,2.56,3.96,0.79,2.64,2.38,1.65,2.04,0.74,
March,,,,,,,1.49,1.28,2.96,3.52,0.56,1.31,2.68,3.39,2.21,0.83,4.29,1.93,1.04,4.63,1.65,0.93,1.7,1.21,1.02,0.84,0.63,2.34,2.08,0.14,
April,,,,,,,0.44,2.85,2.23,1.4,1.63,1.06,0.27,2.44,0.79,0.71,1.2,1.34,1.49,1.34,4.03,0.72,3.31,2.35,2.06,1.94,1.51,1.89,0.7,1.3,
May,,,,,,,2.16,3.48,2.02,1.09,2.25,0.92,2.44,2.05,1.93,1.63,2.57,1.85,2.29,1.3,2.24,1.63,0.84,2.48,3.45,3.96,1.96,1.22,1.63,1.94,
June,,,,,,,1.69,2.89,1.75,2.14,1.98,2.82,3.51,0.85,2.1,1.55,2.04,2.2,0.36,0.73,2.31,0.75,0.63,0.44,1.71,0.05,1.74,4.39,2.3,1.12,
July,,,,,,,0.63,2.23,2.93,3.58,2.61,0.03,3.49,0.93,2.69,6.19,1.79,1.46,2.02,3.21,4.38,0.83,4.15,4.21,2.35,1.52,1.39,2.51,1.31,1.27,
August,,,,,,,1.32,2.04,3.63,2.81,3.84,1.91,5.78,1.56,1.86,2.18,2.13,3.54,1.82,2.37,1.19,4.4,5.71,2.8,2.57,2.15,1.78,3.02,2.83,2.32,
September,,,,,,,1.01,0.72,1.6,2.77,0.82,1.44,1.01,1.84,0.74,1.01,1.37,1.63,4.56,1.98,1.24,1.24,2.18,2.21,3.07,3.51,1.22,4.34,0.49,0.39,
October,,,,,,,5.42,4.02,1.13,3.11,1.7,1.82,2.99,3.83,2.15,1.78,2.3,3.66,1.63,2.55,1.33,3.3,0.64,1.6,4.03,3.44,1.73,2.35,4.3,3.27,
November,,,,,,,2.71,1.92,1.2,0.44,3.81,2.15,1.97,1.88,3.36,2.57,3.05,1.05,1.51,1.56,1.04,1.53,0.95,1.78,1.89,1.94,3.22,2.76,2.86,5.29,
December,,,,,,,2.27,2.69,1.55,4.27,4.62,3.86,3.23,0.93,5.02,5.29,2.31,0.97,3.19,3.74,2.88,2.11,3.18,2.97,2.76,2.35,0.88,3,2.18,4.05,
Total,,,,,,,24.88,26.83,23.77,26.73,27.96,19.85,33.84,24.29,25.29,28.89,28.61,22.77,23.78,29.44,27.25,19.97,29.17,27.08,27.94,26.38,21.14,31.13,27.64,23.05,
