NOTTINGHAM STRELLEY HALL (monthly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK507421,Long,-1.246448,Lat,52.973863,Elevation,377,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.54,3.92,1.43,1.05,1.83,2.58,0.93,3.01,1.11,1.07,0.92,2.18,0.9,4.66,3.77,1.38,2.36,1.21,2.26,1.92,3.52,2.72,2.19,3.46,1.07,2.23,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.4,3.83,1.18,2.11,0.96,2.72,0.73,2.86,1.72,1.82,0.73,2.14,1.6,1.71,0.85,1.13,2.93,4.52,0.81,2,2.61,2.24,0.43,2.59,3.98,0.85,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.95,0.88,1.89,1.56,3.2,1.78,2.22,1.48,1.29,3.02,3.51,0.58,1.36,2.64,3.37,2.24,0.89,4.37,1.93,1.05,4.66,1.65,1,1.75,1.25,1.04,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.28,1.07,1.29,2.1,1.89,1.28,1.49,0.44,2.89,2.27,1.42,1.7,1.07,0.25,2.44,0.82,0.76,1.25,1.38,1.56,1.36,4.11,0.76,3.38,2.35,2.08,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.12,1.41,0.91,2.36,3.16,1.33,0.47,2.21,3.51,2.07,1.09,2.23,0.92,2.39,2.05,1.96,1.68,2.62,1.89,2.33,1.31,2.27,1.7,0.86,2.51,3.4,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.72,3.53,1.71,1.74,1.66,0.38,3.09,1.74,2.93,1.75,2.14,1.93,2.8,3.45,0.85,2.16,1.53,2,2.14,0.36,0.78,2.29,0.77,0.68,0.51,1.77,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.2,1.87,4.2,1.25,2.07,1.95,1.12,0.63,2.28,2.92,3.69,2.76,0.02,3.48,0.92,2.7,6.28,1.83,1.5,2.1,3.19,4.39,0.84,4.23,4.34,2.4,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,0.67,5.15,1.18,3.72,5.34,2.8,3.07,1.37,2.11,3.65,2.85,3.9,1.93,5.79,1.63,1.95,2.32,2.18,3.56,1.86,2.36,1.27,4.48,5.76,2.83,2.59,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.87,0.84,1.26,1.23,3,1.75,1.5,1.02,0.76,1.56,2.8,0.84,1.46,0.97,1.87,0.75,1.04,1.4,1.69,4.72,2.06,1.31,1.26,2.09,2.25,3.16,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.47,1.88,1.49,2.67,6.13,0.44,1.35,5.48,4.11,1.16,3.18,1.72,1.89,3,3.81,2.17,1.84,2.38,3.64,1.64,2.55,1.4,3.36,0.69,1.59,4.1,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,1.26,2.59,2.04,1.62,1.96,1.24,2.7,2.74,2.01,1.22,0.46,3.79,2.12,1.87,1.88,3.31,2.52,3.11,1.03,1.53,1.56,0.97,1.57,0.99,1.81,1.84,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,2.44,3.96,5.48,1.66,1.04,1.71,0.61,2.37,2.76,1.61,4.42,4.59,3.8,3.17,0.95,5.1,5.32,2.39,0.97,3.23,3.82,2.9,2.22,3.24,2.98,2.79,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,23.92,30.93,24.06,23.07,32.24,19.96,19.28,25.35,27.48,24.12,27.21,28.36,19.87,33.38,24.39,25.67,29.47,29.26,22.8,24.3,29.78,27.52,20.58,29.72,27.47,28.25,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
