"NOTTINGHAM STRELLEY HALL",,,,,,,,,,,,
Grid ref,SK507421,Long,-1.246448,Lat,52.973863,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.92,1.43,1.05,1.83,2.58,0.93,3.01,1.11,1.07,0.92,,
February,3.83,1.18,2.11,0.96,2.72,0.73,2.86,1.72,1.82,0.73,,
March,0.88,1.89,1.56,3.20,1.78,2.22,1.48,1.29,3.02,3.51,,
April,1.07,1.29,2.10,1.89,1.28,1.49,0.44,2.89,2.27,1.42,,
May,1.41,0.91,2.36,3.16,1.33,0.47,2.21,3.51,2.07,1.09,,
June,3.53,1.71,1.74,1.66,0.38,3.09,1.74,2.93,1.75,2.14,,
July,1.87,4.20,1.25,2.07,1.95,1.12,0.63,2.28,2.92,3.69,,
August,5.15,1.18,3.72,5.34,2.80,3.07,1.37,2.11,3.65,2.85,,
September,0.84,1.26,1.23,3.00,1.75,1.50,1.02,0.76,1.56,2.80,,
October,1.88,1.49,2.67,6.13,0.44,1.35,5.48,4.11,1.16,3.18,,
November,2.59,2.04,1.62,1.96,1.24,2.70,2.74,2.01,1.22,0.46,,
December,3.96,5.48,1.66,1.04,1.71,0.61,2.37,2.76,1.61,4.42,,
Total,30.93,24.06,23.07,32.24,19.96,19.28,25.35,27.48,24.12,27.21,,
Calc annual,30.93,24.06,23.07,32.24,19.96,19.28,25.35,27.48,24.12,27.21,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
