"AYSGARTH VICARAGE - 8"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE014883,Long,-1.979995,Lat,54.290324,Elevation,648,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,0.5,,,,,,,,,1.37,4.38,2.91,2.12,1.81,5,3.52,1.79,1.67,2.45,7.11,,,1.61,6.89,,,,,,
February,,,,,,,,,,,4.74,,,,,,,,,2.1,1.05,0.09,2.85,6.06,8.74,0.89,1.03,3.17,3.46,2.38,,,1.16,6.03,,,,,,
March,,,,,,,,,,,1.73,,,,,,,,,2.41,2.62,2.09,0.98,0.97,4.19,3.97,4.85,6.69,1.93,1.81,,,1.93,7.7,,,,,,
April,,,,,,,,,,2.15,2.45,,,,,,,,,4.19,1.39,3.85,1.4,0.53,1.67,2.53,1.48,1.94,2.83,3.12,,,1.62,1.64,,,,,,
May,,,,,,,,,,1.58,1.86,,,,,,,,,1.94,2.26,2.78,3.54,1.96,2.11,0.68,0.59,1.17,2.59,3.57,,,2.61,3.6,,,,,,
June,,,,,,,,,,4.09,2.32,,,,,,,,,0.27,3.33,-999,3.63,2.06,2.71,2.1,3.83,2.78,2.02,1.28,,,1.31,1.86,,,,,,
July,,,,,,,,,,4.4,5.15,,,,,,,,,2.69,2.17,-999,1.5,3.36,2.36,7.74,4.35,0.96,1.63,3.52,,,2.27,2.85,,,,,,
August,,,,,,,,,,4.76,3,,,,,,,,,,5.88,-999,5.23,3.26,2.87,2.79,1.95,4.08,4.48,1.22,,,2.4,4.27,,,,,,
September,,,,,,,,,,2.45,4.36,,,,,,,,,,1.73,3.3,3.13,2.59,0.91,1.33,6.02,2.83,0.87,4.87,,,1.36,4.36,,,,,,
October,,,,,,,,,,1.5,4.5,,,,,,,,,5.42,1.51,4.74,8.46,2.51,5.08,2.88,3.84,2.29,5.52,3.32,,,3.58,9.74,,,,,,
November,,,,,,,,,,1.75,4.97,,,,,,,,,0.81,5.05,4.04,1.89,1.94,2.78,6.47,1.26,3.1,3.24,4.12,,,2.42,1.86,,,,,,
December,,,,,,,,,,2.7,4.63,,,,,,,,,1.18,1.29,7.04,1.01,3.81,4.08,4.4,4.94,6.37,5.6,2.88,,,4.91,3.06,,,,,,
Total,,,,,,,,,,,40.21,,,,,,,,,,32.66,41.85,35.74,30.86,42.5,39.3,35.93,37.05,36.62,39.2,,,27.18,53.86,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891 June-Aug 11.01 bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
