LADOCK (PUMPING STATION),,,,,,,,,,,,
Grid ref,SW892511,Long,-4.962714,Lat,50.322046,,,,,,,
Station no,1925/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.11,2.51,6.42,5.37,3.42,5.16,6.35,4.73,,
February,,,1.67,4.49,3.56,1.09,5.25,5.98,0.60,4.52,,
March,,,0.83,3.92,1.49,1.84,4.83,4.27,5.17,3.80,,
April,,,2.41,0.81,1.26,1.09,0.46,1.07,3.37,2.82,,
May,,,3.26,3.52,3.91,1.13,2.71,3.52,1.51,2.25,,
June,,,2.09,3.36,3.00,2.77,3.05,3.89,1.38,1.46,,
July,,,3.77,3.23,0.06,3.85,2.49,3.54,1.82,5.37,,
August,,,1.73,2.71,0.23,3.97,3.67,5.73,5.91,3.96,,
September,,,3.00,4.26,1.59,5.71,3.34,6.37,0.15,4.97,,
October,,,2.43,3.13,3.91,2.36,2.80,3.14,6.54,8.78,,
November,,,1.83,7.67,3.25,2.50,3.18,3.09,7.65,6.63,,
December,,,1.65,4.15,6.09,7.74,4.49,6.15,8.54,5.20,,
Total,,,25.78,43.76,34.77,39.42,39.69,51.91,48.99,54.49,,
Calc annual,0.00,0.00,25.78,43.76,34.77,39.42,39.69,51.91,48.99,54.49,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
