WEST-KIRBY-MIX-ABBEY-MANOR,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ219868,Long,-3.1753289,Lat,53.372265,Elevation,125,ft.,,,,,,,,,,,,,
Station no,RR4145,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,3.5,2.6,0.89,3.04,1.06,1.68,1.43,1.67,2.62,3.21,,,,,,,,,
February,,,0.81,0.55,1.22,2.05,2.9,1.74,2,1.19,2.52,0.16,,,,,,,,,
March,,,2.91,2.55,2.44,1.04,1.73,2.54,0.85,5.26,3.81,1.5,,,,,,,,,
April,,,,2.37,0.38,1.46,1.5,1.37,1.37,1.52,3.47,0.97,,,,,,,,,
May,,,0.31,2.19,1.65,1.53,3.48,3.07,2.53,0.77,3.17,1.4,,,,,,,,,
June,,,2.88,2.39,1.85,0.7,1.26,1.75,2.01,1.26,4.52,0.06,,,,,,,,,
July,,,2.16,1.7,4.57,3.31,1.04,1,3.43,1.37,6.35,1.17,,,,,,,,,
August,,,6.46,1.64,1.64,4.27,2.26,5.6,2.37,3.64,1.87,5,,,,,,,,,
September,,,1.23,2.45,2.69,0.84,2.61,1.3,7.09,2.48,2.4,1.22,,,,,,,,,
October,,,2.86,2.59,1.62,1.87,3.1,5.22,2.2,3.27,1.74,2.52,,,,,,,,,
November,,,1.97,2.59,2.78,2.81,2.04,2.04,1.56,1.58,0.49,2.3,,,,,,,,,
December,,,2.04,1.95,4.35,4.54,1.36,1.46,5.51,4.63,1.92,2.68,,,,,,,,,
Total,,,,25.57,26.08,27.46,24.34,28.77,32.35,28.64,34.88,22.19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is Grovehill, also referred to as Abbey Manor. Stated altitude of 200 ft. is too high for the area; OS figure used",,,,,,,,,,,,,,,,,,,,,
