WEST-KIRBY-MIX-MONKS-WAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ219867,Long,-3.1753042,Lat,53.371366,Elevation,113,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,,2.32,2.52,1.43,1.46,1.39,4.52,2.04,2.97,4.33,3.17,3.07,4.02,3.81,3.55,2.61,3.44,2.12,5.5,2.31,0.77,2.19,3.29,,,,,,,,
February,,,,,,,,,,,,2.12,0.08,3.06,0.25,2.21,2.27,4.68,0.45,1.9,2.42,2.43,1.23,1.64,1.24,2.37,3.99,1.42,1.37,1.13,4.56,2.49,0.86,,,,,,,,
March,,,,,,,,,,,,0.3,1.59,2.06,1.58,0.7,1.6,1.78,0.98,1.57,2.2,2.89,2.3,0.5,0.83,0.68,0.91,4.47,0.62,2.27,1.04,5.16,1.24,,,,,,,,
April,,,,,,,,,,,,2.31,2.73,0.84,1.53,2.01,0.9,2.64,0.18,2.08,2.08,1.81,0.99,1.03,1.67,1.57,0.76,2.49,1.14,2.63,3.26,1.18,1.58,,,,,,,,
May,,,,,,,,,,,,2.08,3.78,1.58,1.85,1.69,1.14,3.54,2.2,1.76,2.6,1.86,3.64,2.49,1.29,3.4,2.69,3.43,0.75,2.77,0.86,3.4,2.05,,,,,,,,
June,,,,,,,,,,,,4.8,0.62,1.59,1.39,3.84,3.78,1.08,2.76,2.62,0.92,0.36,0.31,2.09,1.56,2.15,3.43,2.24,3.25,0.81,1.28,0.89,1.79,,,,,,,,
July,,,,,,,,,,,,1.63,3.76,1.4,1.31,1.72,3.01,1.54,2.96,5.46,3.02,1.48,2.59,2.34,2.67,3.55,4.1,4.07,2.32,2.14,1.91,1.32,1.09,,,,,,,,
August,,,,,,,,,,,,5.55,1.3,1.86,3.2,1.07,1.41,1.28,5.08,3.21,0.64,3.31,2.25,3.18,2.15,1.52,4.35,0.31,2.55,1.58,4.46,3.26,1.64,,,,,,,,
September,,,,,,,,,,,,2.99,2.29,0.8,2.58,5.61,3.18,1.93,1.91,0.66,2.64,0.57,1.72,3.15,4.69,1.63,2.58,2.61,1.56,0.64,4.54,2.07,4.31,,,,,,,,
October,,,,,,,,,,,,1.5,5.72,3.88,4.09,4.15,1.87,2.52,3.98,2.63,3.61,2.41,2.63,3.47,3.31,4.27,0.57,0.97,1.88,3.56,2.34,0.86,3.7,,,,,,,,
November,,,,,,,,,,,3.97,4.06,2.21,1.29,2.25,3.57,2.66,1.32,3.31,4.83,5.19,2.12,0.85,2.4,5.86,0.17,3.61,3.51,1.7,4.44,4.3,6.13,2.77,,,,,,,,
December,,,,,,,,,,,3.68,1.25,1.25,0.77,4,3.35,3.36,2.55,3.37,2.37,2.07,1.13,2.99,1.26,2.37,2.18,2.89,2.36,3.14,4.35,3.28,3.66,2.7,,,,,,,,
Total,,,,,,,,,,,,30.91,27.85,20.56,25.49,31.31,29.7,26.9,30.15,33.42,30.56,23.44,25.52,27.36,31.19,26.1,33.32,30,25.78,28.63,32.6,32.61,27.02,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is on Monks Way at the stated altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
