"POCKLINGTON WATER",,,,,,,,,,,,
Grid ref,SE867503,Long,-0.680676,Lat,53.941559,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.25,1.54,1.18,1.77,2.26,0.68,3.55,1.27,1.41,0.46,,
February,4.56,2.28,1.11,0.99,3.17,1.02,2.26,1.46,1.87,1.41,,
March,0.79,2.22,1.29,3.07,1.97,2.24,1.53,1.42,3.38,4.11,,
April,1.39,1.83,0.84,2.43,1.07,2.41,0.81,1.70,2.95,2.39,,
May,1.13,0.79,2.42,3.46,2.15,0.74,2.33,3.16,2.51,0.80,,
June,1.92,2.19,2.42,1.70,0.55,1.94,0.77,3.40,1.12,3.65,,
July,1.16,2.06,2.86,3.28,1.68,1.58,1.93,1.34,3.89,3.48,,
August,5.96,3.02,2.22,2.81,3.31,4.39,2.66,2.48,2.38,3.91,,
September,0.84,1.18,0.45,3.92,1.85,2.42,0.72,1.02,1.81,1.67,,
October,3.60,1.51,2.85,7.25,0.72,1.85,4.78,4.47,1.16,2.64,,
November,3.71,5.08,1.41,2.00,2.49,4.16,3.27,2.31,1.52,0.81,,
December,3.57,5.26,2.32,1.26,1.31,0.29,2.47,3.72,2.15,4.59,,
Total,32.88,28.96,21.37,33.94,22.53,23.72,27.08,27.75,26.15,29.92,,
Calc annual,32.88,28.96,21.37,33.94,22.53,23.72,27.08,27.75,26.15,29.92,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
