"ULLAPOOL",,,,,,,,,,,,
Grid ref,NH128942,Long,-5.160307,Lat,57.897820,,,,,,,
Station no,5783,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.35,,4.84,,,,,,,,,
February,3.72,4.41,3.65,2.53,,,,,,,,
March,4.34,3.50,3.13,2.58,,,,,,,,
April,4.65,3.47,3.57,,,,,,,,,
May,2.90,2.61,3.91,3.32,,,,,,,,
June,2.15,3.79,,,,,,,,,,
July,2.39,4.58,,,,,,,,,,
August,1.23,,,,,,,,,,,
September,2.01,,,,,,,,,,,
October,3.13,,,,,,,,,,,
November,7.55,6.27,,,,,,,,,,
December,6.81,,,,,,,,,,,
Total,46.23,,,,,,,,,,,
Calc annual,46.23,28.63,19.10,8.43,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
