"BIDDULPH GRANGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2314,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.69,4.16,4.34,,,,,,,2.36,4.07,
February,4.28,0.51,3.71,,,,,,,0.86,0.33,
March,3.62,2.17,2.69,,,,,,,0.56,2.22,
April,6.03,2.16,2.82,,,,,,,0.98,3.14,
May,4.64,1.55,1.20,,,,,,,2.25,2.07,
June,3.47,0.95,2.20,,,,,,,1.73,2.29,
July,5.10,1.39,4.90,,,,,,,3.14,6.66,
August,2.40,5.52,5.30,,,,,,,4.82,4.21,
September,3.82,1.05,3.92,,,,,,,1.89,4.02,
October,2.02,2.87,0.50,,,,,,,5.00,4.91,
November,0.77,2.25,2.10,,,,,,,7.42,3.73,
December,2.81,3.40,5.19,,,,,,,5.52,3.71,
Total,43.65,27.98,38.87,,,,,,,36.53,41.36,
Calc annual,43.65,27.98,38.87,0.00,0.00,0.00,0.00,0.00,0.00,36.53,41.36,
Difference,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,
