DUMFRIES ASHBANK,,,,,,,,,,
Grid ref,NX970757,Long,-3.6143384,Lat,55.065052,Elevation,70,ft,,
Station no,RR8838,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,5.7,9.4,2.5,8.5,4.4,1.8
February,,,,,1.7,1.1,4.8,3.7,3,2.3
March,,,,,2.8,1.4,3.7,1.8,1,2.4
April,,,,,3.2,1.4,2.9,2.8,2.4,1.3
May,,,,,1.1,1.8,0.4,2.5,4.2,1.6
June,,,,,0.7,3.7,3.7,3.8,2.3,4.8
July,,,,,2.8,3.5,2.2,5,0.2,5
August,,,,,6.7,2.1,3.9,6.9,3.2,3.8
September,,,,,4.3,5.8,4,2.7,3.9,4
October,,,,,10.4,5.5,4.4,5.8,3.6,2.3
November,,,,,4.8,3.7,4.7,8.5,1.7,0.9
December,,,,,2,3.8,6.3,4.9,1.4,2.8
Total,,,,,46.2,43.2,43.5,56.9,31.3,33
