LEICESTER-PRIORY-LODGE,,,,,,,,,,
Grid ref,SK603022,Long,-1.1108485,Lat,52.614235,Elevation,300,ft,,
Station no,RR7596,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.31,3.61,,,,,,
February,,,1.14,0.73,,,,,,
March,,,2.77,3.44,,,,,,
April,,,0.18,2.28,,,,,,
May,,,2.79,1.65,,,,,,
June,,,3.97,1.29,,,,,,
July,,,4.7,1.1,,,,,,
August,,,5.53,,,,,,,
September,,,0.85,,,,,,,
October,,,1.99,,,,,,,
November,,,1.79,,,,,,,
December,,,3.46,,,,,,,
Total,,,32.48,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Gauge moved 1913 Aug,,,,,,,,,,
