LEICESTER-PRIORY-LODGE (26 DE MONTFORD ST),,,,,,,,,,
Grid ref,SK592035,Long,-1.1268601,Lat,52.626041,Elevation,240,ft,,
Station no,RR7596,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,1.07,1.93,1.14,1.66,,
February,,,,,1.28,3.01,4.24,0.75,,
March,,,,,2.48,1.11,4.37,1.01,,
April,,,,,1.39,0.88,0.91,1.84,,
May,,,,,1.56,1.97,1.99,2.2,,
June,,,,,2.07,2.63,1.36,2.97,,
July,,,,,2.63,7.15,1.35,1.52,,
August,,,,,1.48,1.91,3.3,4.7,,
September,,,,1.96,0.85,1.41,1.66,2.03,,
October,,,,3,2.17,1.18,1.98,3.16,,
November,,,,2.42,3.1,2.5,2.43,0.87,,
December,,,,0.79,4.66,4.53,2.12,0.86,,
Total,,,,,24.74,30.21,26.85,23.57,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Gauge moved 1913 Aug,,,,,,,,,,
