ILMINSTER-SILVER-STREET-(MONTHLY),,,,,,,,,,
Grid ref,ST361145,Long,-2.91057,Lat,50.92677,Elevation,133,ft,,
Station no,RR8799,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,3.3,7.2,6.04,3.37,,,,,
February,,2.02,4.09,1.97,3.82,,,,,
March,,1.94,3.64,3.54,0.49,,,,,
April,,3.98,2.79,0.79,1.46,,,,,
May,,0.87,1.78,1.08,0.92,,,,,
June,,1.34,3.66,1.13,,,,,,
July,,3.04,3.09,2.95,,,,,,
August,,1.88,2.81,3.61,,,,,,
September,,5.36,2.54,2.16,,,,,,
October,,3.47,4.89,1.63,,,,,,
November,,1.14,5.27,-999,,,,,,
December,,3.18,7.12,-999,,,,,,
Total,,31.52,48.88,29.4,,,,,,
,,,,,,,,,,
1873 Nov Dec Bracketed Combined total 4.5,,,,,,,,,,
