SPREYTON-VICARAGE-(OLD-GAUGE-3.8-INCH),,,,,,,,
Grid ref,SX697968,Long,-3.84856,Lat,50.75613,Elevation,735,ft
Station no,RR8938,,,,,,,
,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,
January,,,,2.6,4.3,1.4,5.2,
February,,,,1.7,7.1,0.2,2.7,
March,,,,4.4,1.4,6.5,2,
April,,,,1.15,,3.4,1.1,
May,,,,1.9,,1.2,2.4,
June,,,2.75,2.5,,3.9,1.5,
July,,,2.7,3.3,4.15,0.95,,
August,,,2,3.9,3.2,7.3,,
September,,,2.9,4.75,0.9,2.05,,
October,,,2.7,6.6,2.6,2.45,,
November,,,2.4,2.9,2.1,6.4,,
December,,,7.3,4.6,3.6,1.3,,
Total,,,,40.3,,37.05,,
,,,,,,,,
Marked as 3.8in gauge,,,,,,,,
1904 Apr Gauge broken Repaired in July,,,,,,,,
1906 July Note says 'No explanation of brackets',,,,,,,,
1906 Sept New gauge,,,,,,,,
