SPREYTON-VICARAGE-(NEW-GAUGE-5-INCH),,,,,,,,,,,,,,
Grid ref,SX697968,Long,-3.84856,Lat,50.75613,Elevation,735,ft,,,,,,
Station no,RR8938,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.82,1.42,1.75,4.15,1.47,,,1.26,4.23,1.45,,,
February,,1.25,2.38,0.43,4.22,1.17,,,4.2,6.43,,,,
March,,0.82,4.13,6.1,0.57,,,,6.56,0.48,3.39,,,
April,,4.67,2.43,2.1,2.57,,,,1.82,0.9,0.71,,,
May,,3.27,1.37,1.17,2.59,,,,1.31,2.11,2.24,,,
June,,2.42,0.68,2.94,2.51,,,,2,1.58,2.04,,,
July,,0.91,1.27,1.71,2.8,,,,3.46,3.35,0.32,,,
August,,1.32,3.37,1.74,4.77,,,,1.87,3.02,,,,
September,1.02,0.69,1.87,1.23,0.24,,,,1.76,1.61,,,,
October,3.94,6.87,2.21,4.56,5.71,,,,3.57,4.17,,,,
November,3.65,2.87,1.08,1.02,5.37,,,,4.18,2.44,,,,
December,2.67,5.58,3.62,,7.63,,,,9.61,8.63,,,,
Total,,32.49,25.83,,43.13,,,,41.6,38.95,,,,
,,,,,,,,,,,,,,
1906 Sept New 5in gauge,,,,,,,,,,,,,,
1907 Dec Marked as estimated Possibly for snow,,,,,,,,,,,,,,
1909 Dec Corrected by surrounding stations in 1912 Deleted,,,,,,,,,,,,,,
