BAGSHOT-CHARLTON,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU909631,Long,-0.69544,Lat,51.36028,Elevation,215,ft,,,,,,,,,,,,,
Station no,236,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.56,1.45,,1.45,2.66,1.98,1.86,1.01,4.29,4.78,3.41,5.2,3.09
February,,,,,,,,,1.92,0.7,,1.64,0.19,3.69,0.12,3.11,2.24,3.79,0.5,1.24,2.03
March,,,,,,,,,2.1,0.03,,0.21,1.38,3.21,2.6,0.35,1.97,3.35,0.34,1.18,2.86
April,,,,,,,,,2.07,0.9,,3.64,2.69,1.02,2.11,3.43,2.14,2.42,0.12,2.69,2.32
May,,,,,,,,,1.97,1.77,,3.53,3.94,3.55,0.39,1.61,0.8,2.45,1.96,1.21,0.77
June,,,,,,,,,2.13,1.38,,1.65,1.37,2.7,1.4,3.65,3.53,2.36,0.83,1.17,0.72
July,,,,,,,,,1.71,2.09,,3.5,2.31,1.7,1.98,0.63,3.63,0.84,1.4,3.35,2.77
August,,,,,,,,,1.86,1.53,,5.05,2.09,0.69,2.73,3.34,1.67,1.85,1.39,2.38,0.2
September,,,,,,,,,1.05,0.15,,2.09,2.33,2.33,1.26,4.11,2.57,2.08,1.54,1.38,1.68
October,,,,,,,,,3.39,2.72,,0.54,4.58,2.09,1.92,3.55,2.01,2.38,2.5,4.2,3.46
November,,,,,,,,,1.96,6.93,,2.92,1.36,1.02,2.59,5.31,3.34,1.7,3.23,5.26,6.93
December,,,,,,,,,2.64,6.41,,0.53,0.54,0.57,6.16,3,2.53,4.17,3.17,1.22,1.37
Total,,,,,,,,,26.36,26.06,,26.75,25.44,24.55,25.12,33.1,30.72,32.17,20.39,30.48,28.2
,,,,,,,,,,,,,,,,,,,,,
Charlton 9 Church Road Bagshot,,,,,,,,,,,,,,,,,,,,,
1941 Station terminated on death of observer,,,,,,,,,,,,,,,,,,,,,
1939 June Oct-Dec and annual total corrected in 1943,,,,,,,,,,,,,,,,,,,,,
