DUNFORD BRIDGE (HARDEN) - new Gauge No 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE150035,Long,-1.775194,Lat,53.52795,Elevation,1204,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3165/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,7.51,7.29,4.03,5.27,4.94,7.27,10.34,6.43,7.77,5.22,14,2.81,3.96,6.07,7,2.91,4.99,3.85,7.37,5.02,5.67,6.05,6.73
February,,,,,,,,2.92,5.94,3.38,7.68,2.19,4.75,3.71,7.07,9.06,3.88,5.22,3.76,9.28,5.71,2.02,2.7,4.19,2.93,2.57,5.25,7.23,0.43,4.11
March,,,,,,,,1.86,4.44,4.77,7.29,3.04,2.88,1.07,1.67,2.57,8.24,2.45,2.1,2.87,7.24,2.97,3.63,3.28,3.65,2.65,4.6,3.57,2.55,2.64
April,,,,,,,,0.79,3.08,4,3.88,2.42,3.62,3.59,3.27,2.33,5.6,3.01,5.67,5.75,3.74,3.17,4.11,1.01,2.1,3.42,0.54,1.72,6.3,3.21
May,,,,,,,,4.28,2.81,1.24,3.76,4.05,3.19,4.21,4.35,2.81,4.16,2.52,2.89,3.34,4.73,2.62,2.87,5.08,6.11,1.82,2.03,4.53,1.65,2.3
June,,,,,,,,5.1,3.5,0.93,1.59,1.24,3.97,2.96,4.32,4.89,3.45,5.22,1.15,2.35,1.22,3.1,4.97,2.67,4.09,3.86,1.67,5.86,1.93,2.01
July,,,,,,,,4.73,8.24,4.83,1.81,5.1,2.6,3.35,2.4,4.92,2.37,1.91,3.43,2.97,3.76,2.18,6.33,5.84,1.23,9.16,5.01,5.51,4.32,6.75
August,,,,,,,,5.51,2.02,2.08,6.52,6.83,6.17,5.57,3.72,5.62,0.38,5.55,3.62,4.28,7.01,3.92,5.21,7.75,0.91,11.17,7.16,3.96,1.19,4.93
September,,,,,,,,2.75,2.65,5,0.59,3.57,4.87,6.35,2.85,8.19,2.63,2.26,1.93,8.01,3.42,5.73,3.57,6.39,2.43,4.93,6.76,4.99,0.31,4.06
October,,,,,,,,12.95,4.13,6.02,6.31,7.67,2.98,6.34,8.76,2.39,1.35,3.3,4.85,3.76,1.26,7.74,2.81,9.09,3.86,3.74,6.92,4.76,4.78,7.94
November,,,,,,,,6.82,9.71,9.93,4.42,1.92,4.46,9.92,0.99,10.8,8.22,2.67,9.32,8.36,12.37,3.67,5.41,9.14,2.81,2.78,3.76,1.53,6.01,7.53
December,,,,,,,,5.39,5.49,5.8,3.72,5.07,3.21,5.91,3.88,4.93,6.77,5.2,11.77,3.25,10.36,4.85,2.79,10.33,7.61,6.85,7.04,5.55,10.17,7.02
Total,,,,,,,,60.61,59.3,52.01,52.84,48.04,49.97,63.32,49.71,66.28,52.27,53.31,53.3,58.18,66.89,48.97,47.31,69.76,41.58,60.32,55.76,54.88,45.69,59.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 May but arithmetic as well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
