LEICESTER WIGSTON GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP607996,Long,-1.1046,Lat,52.5915,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2.27,1.83,2.53,1.63,,1.18,2.12,1.76,1.52,2.5,1.53,2.24,3.57,2.72,1.96,0.68,3.28,3.58,0.52,1.27,3.1,0.41,2.27,2.88,0.88,2.33,2.08,3.24,1.71,2.82,1.63,0.96,3.43,1.61,2.1,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.04,0.82,1.47,2,,0.66,1.02,1.4,4.01,1.83,1.38,0.48,1.11,1.84,0.71,1.56,1.68,0.64,0.72,1.94,0.79,2.11,0.53,0.48,1.71,2.43,2.78,1.28,1.64,1.91,1.64,1.29,2.05,1.74,1.84,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.19,1.07,2.82,0.55,,2.13,1.5,0.83,3.31,1.19,0.46,3.5,0.49,1.2,0.58,1.23,0.68,1.85,1.49,2.28,2.45,2.83,3.31,0.63,2.42,1.01,1.27,2.88,2.56,1.96,1.1,0.94,1.9,2.06,1,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,0.53,1.37,0.6,1.18,,1.29,4.67,1.83,2.57,2.5,2.07,1.42,0.75,2.29,0.28,0.79,2.31,3.5,2.64,2.26,0.93,1.12,1.9,1.72,1.74,0.4,1.31,2.13,1.27,2.65,0.55,2.76,3.03,0.57,1.22,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,3.48,2.13,2.46,5.96,,4.23,1.39,3.23,0.44,2.5,2.88,2.09,0.72,1.48,2.15,2.84,4.25,2.22,2.46,2.4,3.19,0.91,3.3,0.47,1.88,3,1.1,2.02,0.53,4.72,0.71,1.34,2.13,2.03,1.24,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.68,1.87,2.57,3.2,,2.5,1.14,2.22,5.22,3.12,0.95,4.55,3.38,5.08,1.38,2.32,1.48,3.12,0.56,2.95,5.01,2.38,1.95,3.59,1.36,2.29,2.41,2.01,0.33,1.71,0.6,3.87,4.68,4.06,0.58,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.01,3.57,3.29,2.72,,2.64,3.67,0.79,2.76,3.82,3.71,3.47,2.44,3.97,3.29,6.07,1.16,2.38,1.12,1.21,1.99,4.33,1.98,0.74,0.3,3.25,2.21,2.24,0,1.13,1,4.28,5.88,2.34,0.11,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.94,2.67,2.16,6.74,,4.73,5.24,1.83,5.51,2.42,0.92,2.62,2.61,3.21,1.94,1.04,4.15,5.36,3.71,3.09,3.49,0.7,2.49,2.41,0.54,3.54,4.41,2.18,4,1.21,1.89,0.88,3.44,2.68,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.33,5.1,3.21,,,2.15,1.27,2.98,3.93,4.12,2.14,0.98,3.8,1.83,0.9,1.13,2.7,3.45,2.36,2.5,3.21,2.76,2.94,2.63,1.5,0.22,5.43,1.94,2.61,2.43,1.6,4.57,2.28,1.45,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1.61,3.16,1.19,,,1.67,4.01,5.42,4.25,2.52,1.64,2.85,3.28,3.46,1.51,5.27,2.76,2.44,3.34,2.76,2.09,1.57,2.91,3.07,1.66,4.88,2.4,2.29,2.28,0.75,3.45,1.12,3.72,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,4.31,2.96,4.01,,,1.84,1.72,2.42,1.12,1.15,2.27,1.25,7.31,2.02,2.82,1.29,1.58,1.92,0.8,3.01,2.8,2.6,0.9,2.04,2.19,2.42,2.28,0.61,1.36,1.83,1.38,1.04,3.58,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,1.62,1.66,1.15,,,3.13,0.94,3.02,2.09,3.2,2.42,1.17,2.14,0.57,2.25,0.94,1.1,0.54,2.34,2.85,2.42,1.48,1.65,1.11,1.42,1.03,2.15,2.09,4.95,3.58,2.72,1.23,3.13,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,23.01,28.21,27.46,,,28.15,28.69,27.73,36.73,30.87,22.37,26.62,31.6,29.67,19.77,25.16,27.13,31,22.06,28.52,31.47,23.2,26.13,21.77,17.6,26.8,29.83,24.91,23.24,26.7,18.27,24.28,39.25,23.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IDR 1843, 1844 incomplete years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1845 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1849 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1851 Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
